ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SIT_DOM;DESC_SIT_DOM
Indicador  4.2.1.3;2;97.0;23;Ceará;9310;2012;6795;Total
Indicador  4.2.1.3;2;96.9;23;Ceará;9310;2012;1;Urbana
Indicador  4.2.1.3;2;97.4;23;Ceará;9310;2012;2;Rural
Indicador  4.2.1.3;2;97.0;23;Ceará;9310;2013;6795;Total
Indicador  4.2.1.3;2;96.7;23;Ceará;9310;2013;1;Urbana
Indicador  4.2.1.3;2;97.8;23;Ceará;9310;2013;2;Rural
Indicador  4.2.1.3;2;97.4;23;Ceará;9310;2014;6795;Total
Indicador  4.2.1.3;2;97.1;23;Ceará;9310;2014;1;Urbana
Indicador  4.2.1.3;2;98.2;23;Ceará;9310;2014;2;Rural
Indicador  4.2.1.3;2;96.4;23;Ceará;9310;2015;6795;Total
Indicador  4.2.1.3;2;96.2;23;Ceará;9310;2015;1;Urbana
Indicador  4.2.1.3;2;96.8;23;Ceará;9310;2015;2;Rural
Indicador  4.2.1.3;2;98.6;23;Ceará;9310;2016;6795;Total
Indicador  4.2.1.3;2;98.5;23;Ceará;9310;2016;1;Urbana
Indicador  4.2.1.3;2;98.6;23;Ceará;9310;2016;2;Rural
Indicador  4.2.1.3;2;98.0;23;Ceará;9310;2017;6795;Total
Indicador  4.2.1.3;2;97.8;23;Ceará;9310;2017;1;Urbana
Indicador  4.2.1.3;2;98.6;23;Ceará;9310;2017;2;Rural
Indicador  4.2.1.3;2;99.8;23;Ceará;9310;2018;6795;Total
Indicador  4.2.1.3;2;100.0;23;Ceará;9310;2018;1;Urbana
Indicador  4.2.1.3;2;99.3;23;Ceará;9310;2018;2;Rural
Indicador  4.2.1.3;2;98.1;23;Ceará;9310;2019;6795;Total
Indicador  4.2.1.3;2;98.1;23;Ceará;9310;2019;1;Urbana
Indicador  4.2.1.3;2;99.4;23;Ceará;9310;2019;2;Rural
Indicador  4.2.1.3;2;96.6;24;Rio Grande do Norte;9310;2012;6795;Total
Indicador  4.2.1.3;2;96.5;24;Rio Grande do Norte;9310;2012;1;Urbana
Indicador  4.2.1.3;2;97.2;24;Rio Grande do Norte;9310;2012;2;Rural
Indicador  4.2.1.3;2;96.0;24;Rio Grande do Norte;9310;2013;6795;Total
Indicador  4.2.1.3;2;96.8;24;Rio Grande do Norte;9310;2013;1;Urbana
Indicador  4.2.1.3;2;94.0;24;Rio Grande do Norte;9310;2013;2;Rural
Indicador  4.2.1.3;2;96.4;24;Rio Grande do Norte;9310;2014;6795;Total
Indicador  4.2.1.3;2;96.0;24;Rio Grande do Norte;9310;2014;1;Urbana
Indicador  4.2.1.3;2;97.6;24;Rio Grande do Norte;9310;2014;2;Rural
Indicador  4.2.1.3;2;96.7;24;Rio Grande do Norte;9310;2015;6795;Total
Indicador  4.2.1.3;2;97.2;24;Rio Grande do Norte;9310;2015;1;Urbana
Indicador  4.2.1.3;2;95.8;24;Rio Grande do Norte;9310;2015;2;Rural
Indicador  4.2.1.3;2;97.0;24;Rio Grande do Norte;9310;2016;6795;Total
Indicador  4.2.1.3;2;99.0;24;Rio Grande do Norte;9310;2016;1;Urbana
Indicador  4.2.1.3;2;91.5;24;Rio Grande do Norte;9310;2016;2;Rural
Indicador  4.2.1.3;2;98.3;24;Rio Grande do Norte;9310;2017;6795;Total
Indicador  4.2.1.3;2;98.2;24;Rio Grande do Norte;9310;2017;1;Urbana
Indicador  4.2.1.3;2;98.5;24;Rio Grande do Norte;9310;2017;2;Rural
Indicador  4.2.1.3;2;98.0;24;Rio Grande do Norte;9310;2018;6795;Total
Indicador  4.2.1.3;2;98.1;24;Rio Grande do Norte;9310;2018;1;Urbana
Indicador  4.2.1.3;2;97.7;24;Rio Grande do Norte;9310;2018;2;Rural
Indicador  4.2.1.3;2;99.4;24;Rio Grande do Norte;9310;2019;6795;Total
Indicador  4.2.1.3;2;100.0;24;Rio Grande do Norte;9310;2019;1;Urbana
Indicador  4.2.1.3;2;100.0;24;Rio Grande do Norte;9310;2019;2;Rural
Indicador  4.2.1.3;2;92.3;25;Paraíba;9310;2012;6795;Total
Indicador  4.2.1.3;2;92.1;25;Paraíba;9310;2012;1;Urbana
Indicador  4.2.1.3;2;93.0;25;Paraíba;9310;2012;2;Rural
Indicador  4.2.1.3;2;95.9;25;Paraíba;9310;2013;6795;Total
Indicador  4.2.1.3;2;96.5;25;Paraíba;9310;2013;1;Urbana
Indicador  4.2.1.3;2;94.3;25;Paraíba;9310;2013;2;Rural
Indicador  4.2.1.3;2;98.3;25;Paraíba;9310;2014;6795;Total
Indicador  4.2.1.3;2;98.2;25;Paraíba;9310;2014;1;Urbana
Indicador  4.2.1.3;2;98.8;25;Paraíba;9310;2014;2;Rural
Indicador  4.2.1.3;2;97.2;25;Paraíba;9310;2015;6795;Total
Indicador  4.2.1.3;2;97.5;25;Paraíba;9310;2015;1;Urbana
Indicador  4.2.1.3;2;95.9;25;Paraíba;9310;2015;2;Rural
Indicador  4.2.1.3;2;95.0;25;Paraíba;9310;2016;6795;Total
Indicador  4.2.1.3;2;94.3;25;Paraíba;9310;2016;1;Urbana
Indicador  4.2.1.3;2;97.7;25;Paraíba;9310;2016;2;Rural
Indicador  4.2.1.3;2;97.9;25;Paraíba;9310;2017;6795;Total
Indicador  4.2.1.3;2;97.3;25;Paraíba;9310;2017;1;Urbana
Indicador  4.2.1.3;2;100.0;25;Paraíba;9310;2017;2;Rural
Indicador  4.2.1.3;2;98.4;25;Paraíba;9310;2018;6795;Total
Indicador  4.2.1.3;2;98.0;25;Paraíba;9310;2018;1;Urbana
Indicador  4.2.1.3;2;100.0;25;Paraíba;9310;2018;2;Rural
Indicador  4.2.1.3;2;96.7;25;Paraíba;9310;2019;6795;Total
Indicador  4.2.1.3;2;97.7;25;Paraíba;9310;2019;1;Urbana
Indicador  4.2.1.3;2;96.7;25;Paraíba;9310;2019;2;Rural
Indicador  4.2.1.3;2;94.4;26;Pernambuco;9310;2012;6795;Total
Indicador  4.2.1.3;2;95.2;26;Pernambuco;9310;2012;1;Urbana
Indicador  4.2.1.3;2;91.8;26;Pernambuco;9310;2012;2;Rural
Indicador  4.2.1.3;2;91.9;26;Pernambuco;9310;2013;6795;Total
Indicador  4.2.1.3;2;93.5;26;Pernambuco;9310;2013;1;Urbana
Indicador  4.2.1.3;2;87.2;26;Pernambuco;9310;2013;2;Rural
Indicador  4.2.1.3;2;94.5;26;Pernambuco;9310;2014;6795;Total
Indicador  4.2.1.3;2;96.0;26;Pernambuco;9310;2014;1;Urbana
Indicador  4.2.1.3;2;87.7;26;Pernambuco;9310;2014;2;Rural
Indicador  4.2.1.3;2;94.4;26;Pernambuco;9310;2015;6795;Total
Indicador  4.2.1.3;2;94.6;26;Pernambuco;9310;2015;1;Urbana
Indicador  4.2.1.3;2;93.8;26;Pernambuco;9310;2015;2;Rural
Indicador  4.2.1.3;2;97.6;26;Pernambuco;9310;2016;6795;Total
Indicador  4.2.1.3;2;97.4;26;Pernambuco;9310;2016;1;Urbana
Indicador  4.2.1.3;2;97.9;26;Pernambuco;9310;2016;2;Rural
Indicador  4.2.1.3;2;96.8;26;Pernambuco;9310;2017;6795;Total
Indicador  4.2.1.3;2;97.1;26;Pernambuco;9310;2017;1;Urbana
Indicador  4.2.1.3;2;96.0;26;Pernambuco;9310;2017;2;Rural
Indicador  4.2.1.3;2;96.9;26;Pernambuco;9310;2018;6795;Total
Indicador  4.2.1.3;2;96.5;26;Pernambuco;9310;2018;1;Urbana
Indicador  4.2.1.3;2;98.3;26;Pernambuco;9310;2018;2;Rural
Indicador  4.2.1.3;2;98.0;26;Pernambuco;9310;2019;6795;Total
Indicador  4.2.1.3;2;99.2;26;Pernambuco;9310;2019;1;Urbana
Indicador  4.2.1.3;2;97.5;26;Pernambuco;9310;2019;2;Rural
Indicador  4.2.1.3;2;91.0;27;Alagoas;9310;2012;6795;Total
Indicador  4.2.1.3;2;92.3;27;Alagoas;9310;2012;1;Urbana
Indicador  4.2.1.3;2;88.7;27;Alagoas;9310;2012;2;Rural
Indicador  4.2.1.3;2;89.6;27;Alagoas;9310;2013;6795;Total
Indicador  4.2.1.3;2;90.6;27;Alagoas;9310;2013;1;Urbana
Indicador  4.2.1.3;2;87.0;27;Alagoas;9310;2013;2;Rural
Indicador  4.2.1.3;2;92.4;27;Alagoas;9310;2014;6795;Total
Indicador  4.2.1.3;2;92.3;27;Alagoas;9310;2014;1;Urbana
Indicador  4.2.1.3;2;92.8;27;Alagoas;9310;2014;2;Rural
Indicador  4.2.1.3;2;90.4;27;Alagoas;9310;2015;6795;Total
Indicador  4.2.1.3;2;91.3;27;Alagoas;9310;2015;1;Urbana
Indicador  4.2.1.3;2;88.6;27;Alagoas;9310;2015;2;Rural
Indicador  4.2.1.3;2;92.6;27;Alagoas;9310;2016;6795;Total
Indicador  4.2.1.3;2;90.4;27;Alagoas;9310;2016;1;Urbana
Indicador  4.2.1.3;2;97.3;27;Alagoas;9310;2016;2;Rural
Indicador  4.2.1.3;2;94.6;27;Alagoas;9310;2017;6795;Total
Indicador  4.2.1.3;2;93.0;27;Alagoas;9310;2017;1;Urbana
Indicador  4.2.1.3;2;98.1;27;Alagoas;9310;2017;2;Rural
Indicador  4.2.1.3;2;96.8;27;Alagoas;9310;2018;6795;Total
Indicador  4.2.1.3;2;95.4;27;Alagoas;9310;2018;1;Urbana
Indicador  4.2.1.3;2;99.6;27;Alagoas;9310;2018;2;Rural
Indicador  4.2.1.3;2;96.8;27;Alagoas;9310;2019;6795;Total
Indicador  4.2.1.3;2;96.7;27;Alagoas;9310;2019;1;Urbana
Indicador  4.2.1.3;2;98.6;27;Alagoas;9310;2019;2;Rural
Indicador  4.2.1.3;2;94.9;28;Sergipe;9310;2012;6795;Total
Indicador  4.2.1.3;2;94.1;28;Sergipe;9310;2012;1;Urbana
Indicador  4.2.1.3;2;97.0;28;Sergipe;9310;2012;2;Rural
Indicador  4.2.1.3;2;98.0;28;Sergipe;9310;2013;6795;Total
Indicador  4.2.1.3;2;98.2;28;Sergipe;9310;2013;1;Urbana
Indicador  4.2.1.3;2;97.5;28;Sergipe;9310;2013;2;Rural
Indicador  4.2.1.3;2;94.7;28;Sergipe;9310;2014;6795;Total
Indicador  4.2.1.3;2;94.4;28;Sergipe;9310;2014;1;Urbana
Indicador  4.2.1.3;2;95.6;28;Sergipe;9310;2014;2;Rural
Indicador  4.2.1.3;2;98.6;28;Sergipe;9310;2015;6795;Total
Indicador  4.2.1.3;2;98.5;28;Sergipe;9310;2015;1;Urbana
Indicador  4.2.1.3;2;98.9;28;Sergipe;9310;2015;2;Rural
Indicador  4.2.1.3;2;93.5;28;Sergipe;9310;2016;6795;Total
Indicador  4.2.1.3;2;93.5;28;Sergipe;9310;2016;1;Urbana
Indicador  4.2.1.3;2;93.6;28;Sergipe;9310;2016;2;Rural
Indicador  4.2.1.3;2;96.2;28;Sergipe;9310;2017;6795;Total
Indicador  4.2.1.3;2;96.8;28;Sergipe;9310;2017;1;Urbana
Indicador  4.2.1.3;2;94.6;28;Sergipe;9310;2017;2;Rural
Indicador  4.2.1.3;2;97.3;28;Sergipe;9310;2018;6795;Total
Indicador  4.2.1.3;2;96.3;28;Sergipe;9310;2018;1;Urbana
Indicador  4.2.1.3;2;100.0;28;Sergipe;9310;2018;2;Rural
Indicador  4.2.1.3;2;98.2;28;Sergipe;9310;2019;6795;Total
Indicador  4.2.1.3;2;98.1;28;Sergipe;9310;2019;1;Urbana
