ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_RACA;DESC_RACA
Indicador  5.4.1.2;2;8.1;13;Amazonas;9471;2018;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;7.9;13;Amazonas;9471;2018;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;8.1;13;Amazonas;9471;2018;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;7.2;13;Amazonas;9471;2019;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.7;13;Amazonas;9471;2019;6794;Total;2776;Branca
Indicador  5.4.1.2;2;7.3;13;Amazonas;9471;2019;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.9;13;Amazonas;9471;2019;4;Homens;95251;Total
Indicador  5.4.1.2;2;4.4;13;Amazonas;9471;2019;4;Homens;2776;Branca
Indicador  5.4.1.2;2;5.0;13;Amazonas;9471;2019;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;9.5;13;Amazonas;9471;2019;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;8.6;13;Amazonas;9471;2019;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;9.6;13;Amazonas;9471;2019;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;8.6;13;Amazonas;9471;2022;6794;Total;95251;Total
Indicador  5.4.1.2;2;8.0;13;Amazonas;9471;2022;6794;Total;2776;Branca
Indicador  5.4.1.2;2;8.8;13;Amazonas;9471;2022;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;6.1;13;Amazonas;9471;2022;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.8;13;Amazonas;9471;2022;4;Homens;2776;Branca
Indicador  5.4.1.2;2;6.2;13;Amazonas;9471;2022;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;11.0;13;Amazonas;9471;2022;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;9.8;13;Amazonas;9471;2022;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;11.3;13;Amazonas;9471;2022;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;7.5;14;Roraima;9471;2016;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.9;14;Roraima;9471;2016;6794;Total;2776;Branca
Indicador  5.4.1.2;2;7.6;14;Roraima;9471;2016;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;5.0;14;Roraima;9471;2016;4;Homens;95251;Total
