ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;CODG_SEXO;DESC_SEXO;SUB_INDICADOR
Indicador  3.3.4;1020;748;1;Brasil;9613;2019;1151;55 a 59 anos;92956;Homem;9613
Indicador  3.3.4;1020;465;1;Brasil;9613;2019;1151;55 a 59 anos;92957;Mulher;9613
Indicador  3.3.4;1020;2150;1;Brasil;9613;2019;3302;60 anos ou mais;6794;Total;9613
Indicador  3.3.4;1020;1282;1;Brasil;9613;2019;3302;60 anos ou mais;92956;Homem;9613
Indicador  3.3.4;1020;867;1;Brasil;9613;2019;3302;60 anos ou mais;92957;Mulher;9613
Indicador  3.3.4;1020;7969;1;Brasil;9613;2020;95253;Total;6794;Total;9613
Indicador  3.3.4;1020;4619;1;Brasil;9613;2020;95253;Total;92956;Homem;9613
Indicador  3.3.4;1020;3350;1;Brasil;9613;2020;95253;Total;92957;Mulher;9613
Indicador  3.3.4;1020;46;1;Brasil;9613;2020;1140;0 a 4 anos;6794;Total;9613
Indicador  3.3.4;1020;30;1;Brasil;9613;2020;1140;0 a 4 anos;92956;Homem;9613
Indicador  3.3.4;1020;16;1;Brasil;9613;2020;1140;0 a 4 anos;92957;Mulher;9613
Indicador  3.3.4;1020;8;1;Brasil;9613;2020;1141;5 a 9 anos;6794;Total;9613
Indicador  3.3.4;1020;3;1;Brasil;9613;2020;1141;5 a 9 anos;92956;Homem;9613
Indicador  3.3.4;1020;5;1;Brasil;9613;2020;1141;5 a 9 anos;92957;Mulher;9613
Indicador  3.3.4;1020;10;1;Brasil;9613;2020;1142;10 a 14 anos;6794;Total;9613
Indicador  3.3.4;1020;2;1;Brasil;9613;2020;1142;10 a 14 anos;92956;Homem;9613
Indicador  3.3.4;1020;8;1;Brasil;9613;2020;1142;10 a 14 anos;92957;Mulher;9613
Indicador  3.3.4;1020;123;1;Brasil;9613;2020;1143;15 a 19 anos;6794;Total;9613
Indicador  3.3.4;1020;32;1;Brasil;9613;2020;1143;15 a 19 anos;92956;Homem;9613
Indicador  3.3.4;1020;91;1;Brasil;9613;2020;1143;15 a 19 anos;92957;Mulher;9613
Indicador  3.3.4;1020;406;1;Brasil;9613;2020;1144;20 a 24 anos;6794;Total;9613
Indicador  3.3.4;1020;145;1;Brasil;9613;2020;1144;20 a 24 anos;92956;Homem;9613
Indicador  3.3.4;1020;261;1;Brasil;9613;2020;1144;20 a 24 anos;92957;Mulher;9613
Indicador  3.3.4;1020;769;1;Brasil;9613;2020;1145;25 a 29 anos;6794;Total;9613
Indicador  3.3.4;1020;353;1;Brasil;9613;2020;1145;25 a 29 anos;92956;Homem;9613
Indicador  3.3.4;1020;416;1;Brasil;9613;2020;1145;25 a 29 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1006;1;Brasil;9613;2020;1146;30 a 34 anos;6794;Total;9613
Indicador  3.3.4;1020;501;1;Brasil;9613;2020;1146;30 a 34 anos;92956;Homem;9613
Indicador  3.3.4;1020;505;1;Brasil;9613;2020;1146;30 a 34 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1038;1;Brasil;9613;2020;1147;35 a 39 anos;6794;Total;9613
Indicador  3.3.4;1020;605;1;Brasil;9613;2020;1147;35 a 39 anos;92956;Homem;9613
Indicador  3.3.4;1020;433;1;Brasil;9613;2020;1147;35 a 39 anos;92957;Mulher;9613
Indicador  3.3.4;1020;917;1;Brasil;9613;2020;1148;40 a 44 anos;6794;Total;9613
Indicador  3.3.4;1020;603;1;Brasil;9613;2020;1148;40 a 44 anos;92956;Homem;9613
Indicador  3.3.4;1020;314;1;Brasil;9613;2020;1148;40 a 44 anos;92957;Mulher;9613
Indicador  3.3.4;1020;865;1;Brasil;9613;2020;1149;45 a 49 anos;6794;Total;9613
Indicador  3.3.4;1020;558;1;Brasil;9613;2020;1149;45 a 49 anos;92956;Homem;9613
Indicador  3.3.4;1020;307;1;Brasil;9613;2020;1149;45 a 49 anos;92957;Mulher;9613
Indicador  3.3.4;1020;811;1;Brasil;9613;2020;1150;50 a 54 anos;6794;Total;9613
Indicador  3.3.4;1020;536;1;Brasil;9613;2020;1150;50 a 54 anos;92956;Homem;9613
Indicador  3.3.4;1020;275;1;Brasil;9613;2020;1150;50 a 54 anos;92957;Mulher;9613
Indicador  3.3.4;1020;660;1;Brasil;9613;2020;1151;55 a 59 anos;6794;Total;9613
Indicador  3.3.4;1020;423;1;Brasil;9613;2020;1151;55 a 59 anos;92956;Homem;9613
Indicador  3.3.4;1020;237;1;Brasil;9613;2020;1151;55 a 59 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1310;1;Brasil;9613;2020;3302;60 anos ou mais;6794;Total;9613
Indicador  3.3.4;1020;828;1;Brasil;9613;2020;3302;60 anos ou mais;92956;Homem;9613
Indicador  3.3.4;1020;482;1;Brasil;9613;2020;3302;60 anos ou mais;92957;Mulher;9613
Indicador  3.3.4;1020;9479;1;Brasil;9613;2021;95253;Total;6794;Total;9613
Indicador  3.3.4;1020;5356;1;Brasil;9613;2021;95253;Total;92956;Homem;9613
Indicador  3.3.4;1020;4121;1;Brasil;9613;2021;95253;Total;92957;Mulher;9613
Indicador  3.3.4;1020;78;1;Brasil;9613;2021;1140;0 a 4 anos;6794;Total;9613
Indicador  3.3.4;1020;41;1;Brasil;9613;2021;1140;0 a 4 anos;92956;Homem;9613
Indicador  3.3.4;1020;37;1;Brasil;9613;2021;1140;0 a 4 anos;92957;Mulher;9613
Indicador  3.3.4;1020;5;1;Brasil;9613;2021;1141;5 a 9 anos;6794;Total;9613
Indicador  3.3.4;1020;3;1;Brasil;9613;2021;1141;5 a 9 anos;92956;Homem;9613
Indicador  3.3.4;1020;2;1;Brasil;9613;2021;1141;5 a 9 anos;92957;Mulher;9613
Indicador  3.3.4;1020;27;1;Brasil;9613;2021;1142;10 a 14 anos;6794;Total;9613
Indicador  3.3.4;1020;11;1;Brasil;9613;2021;1142;10 a 14 anos;92956;Homem;9613
Indicador  3.3.4;1020;16;1;Brasil;9613;2021;1142;10 a 14 anos;92957;Mulher;9613
Indicador  3.3.4;1020;123;1;Brasil;9613;2021;1143;15 a 19 anos;6794;Total;9613
Indicador  3.3.4;1020;35;1;Brasil;9613;2021;1143;15 a 19 anos;92956;Homem;9613
Indicador  3.3.4;1020;88;1;Brasil;9613;2021;1143;15 a 19 anos;92957;Mulher;9613
Indicador  3.3.4;1020;383;1;Brasil;9613;2021;1144;20 a 24 anos;6794;Total;9613
Indicador  3.3.4;1020;140;1;Brasil;9613;2021;1144;20 a 24 anos;92956;Homem;9613
Indicador  3.3.4;1020;243;1;Brasil;9613;2021;1144;20 a 24 anos;92957;Mulher;9613
Indicador  3.3.4;1020;788;1;Brasil;9613;2021;1145;25 a 29 anos;6794;Total;9613
Indicador  3.3.4;1020;353;1;Brasil;9613;2021;1145;25 a 29 anos;92956;Homem;9613
Indicador  3.3.4;1020;435;1;Brasil;9613;2021;1145;25 a 29 anos;92957;Mulher;9613
Indicador  3.3.4;1020;974;1;Brasil;9613;2021;1146;30 a 34 anos;6794;Total;9613
Indicador  3.3.4;1020;524;1;Brasil;9613;2021;1146;30 a 34 anos;92956;Homem;9613
Indicador  3.3.4;1020;450;1;Brasil;9613;2021;1146;30 a 34 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1174;1;Brasil;9613;2021;1147;35 a 39 anos;6794;Total;9613
Indicador  3.3.4;1020;691;1;Brasil;9613;2021;1147;35 a 39 anos;92956;Homem;9613
Indicador  3.3.4;1020;482;1;Brasil;9613;2021;1147;35 a 39 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1165;1;Brasil;9613;2021;1148;40 a 44 anos;6794;Total;9613
Indicador  3.3.4;1020;657;1;Brasil;9613;2021;1148;40 a 44 anos;92956;Homem;9613
Indicador  3.3.4;1020;507;1;Brasil;9613;2021;1148;40 a 44 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1118;1;Brasil;9613;2021;1149;45 a 49 anos;6794;Total;9613
Indicador  3.3.4;1020;690;1;Brasil;9613;2021;1149;45 a 49 anos;92956;Homem;9613
Indicador  3.3.4;1020;428;1;Brasil;9613;2021;1149;45 a 49 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1077;1;Brasil;9613;2021;1150;50 a 54 anos;6794;Total;9613
Indicador  3.3.4;1020;664;1;Brasil;9613;2021;1150;50 a 54 anos;92956;Homem;9613
Indicador  3.3.4;1020;413;1;Brasil;9613;2021;1150;50 a 54 anos;92957;Mulher;9613
Indicador  3.3.4;1020;899;1;Brasil;9613;2021;1151;55 a 59 anos;6794;Total;9613
Indicador  3.3.4;1020;543;1;Brasil;9613;2021;1151;55 a 59 anos;92956;Homem;9613
Indicador  3.3.4;1020;356;1;Brasil;9613;2021;1151;55 a 59 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1668;1;Brasil;9613;2021;3302;60 anos ou mais;6794;Total;9613
Indicador  3.3.4;1020;1004;1;Brasil;9613;2021;3302;60 anos ou mais;92956;Homem;9613
Indicador  3.3.4;1020;664;1;Brasil;9613;2021;3302;60 anos ou mais;92957;Mulher;9613
Indicador  3.3.4;1020;9156;1;Brasil;9613;2022;95253;Total;6794;Total;9613
Indicador  3.3.4;1020;5134;1;Brasil;9613;2022;95253;Total;92956;Homem;9613
Indicador  3.3.4;1020;4020;1;Brasil;9613;2022;95253;Total;92957;Mulher;9613
Indicador  3.3.4;1020;91;1;Brasil;9613;2022;1140;0 a 4 anos;6794;Total;9613
Indicador  3.3.4;1020;54;1;Brasil;9613;2022;1140;0 a 4 anos;92956;Homem;9613
Indicador  3.3.4;1020;36;1;Brasil;9613;2022;1140;0 a 4 anos;92957;Mulher;9613
Indicador  3.3.4;1020;10;1;Brasil;9613;2022;1141;5 a 9 anos;6794;Total;9613
Indicador  3.3.4;1020;3;1;Brasil;9613;2022;1141;5 a 9 anos;92956;Homem;9613
Indicador  3.3.4;1020;7;1;Brasil;9613;2022;1141;5 a 9 anos;92957;Mulher;9613
Indicador  3.3.4;1020;30;1;Brasil;9613;2022;1142;10 a 14 anos;6794;Total;9613
Indicador  3.3.4;1020;15;1;Brasil;9613;2022;1142;10 a 14 anos;92956;Homem;9613
Indicador  3.3.4;1020;15;1;Brasil;9613;2022;1142;10 a 14 anos;92957;Mulher;9613
Indicador  3.3.4;1020;128;1;Brasil;9613;2022;1143;15 a 19 anos;6794;Total;9613
Indicador  3.3.4;1020;36;1;Brasil;9613;2022;1143;15 a 19 anos;92956;Homem;9613
Indicador  3.3.4;1020;92;1;Brasil;9613;2022;1143;15 a 19 anos;92957;Mulher;9613
Indicador  3.3.4;1020;350;1;Brasil;9613;2022;1144;20 a 24 anos;6794;Total;9613
Indicador  3.3.4;1020;128;1;Brasil;9613;2022;1144;20 a 24 anos;92956;Homem;9613
Indicador  3.3.4;1020;221;1;Brasil;9613;2022;1144;20 a 24 anos;92957;Mulher;9613
Indicador  3.3.4;1020;720;1;Brasil;9613;2022;1145;25 a 29 anos;6794;Total;9613
Indicador  3.3.4;1020;315;1;Brasil;9613;2022;1145;25 a 29 anos;92956;Homem;9613
Indicador  3.3.4;1020;405;1;Brasil;9613;2022;1145;25 a 29 anos;92957;Mulher;9613
Indicador  3.3.4;1020;960;1;Brasil;9613;2022;1146;30 a 34 anos;6794;Total;9613
Indicador  3.3.4;1020;461;1;Brasil;9613;2022;1146;30 a 34 anos;92956;Homem;9613
Indicador  3.3.4;1020;499;1;Brasil;9613;2022;1146;30 a 34 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1083;1;Brasil;9613;2022;1147;35 a 39 anos;6794;Total;9613
Indicador  3.3.4;1020;604;1;Brasil;9613;2022;1147;35 a 39 anos;92956;Homem;9613
Indicador  3.3.4;1020;479;1;Brasil;9613;2022;1147;35 a 39 anos;92957;Mulher;9613
