ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_RACA;DESC_RACA;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;438.814;22;Piauí;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;96.471;22;Piauí;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;63.786;22;Piauí;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;277.350;22;Piauí;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;22;Piauí;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;1243.673;23;Ceará;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;304.877;23;Ceará;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;129.243;23;Ceará;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;786.264;23;Ceará;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;23;Ceará;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;478.193;24;Rio Grande do Norte;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;156.239;24;Rio Grande do Norte;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;41.570;24;Rio Grande do Norte;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;277.754;24;Rio Grande do Norte;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;24;Rio Grande do Norte;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;469.372;25;Paraíba;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;145.446;25;Paraíba;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;60.121;25;Paraíba;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;261.024;25;Paraíba;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;25;Paraíba;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;1120.465;26;Pernambuco;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;343.555;26;Pernambuco;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;117.643;26;Pernambuco;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;652.530;26;Pernambuco;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;26;Pernambuco;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;377.093;27;Alagoas;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;84.713;27;Alagoas;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;32.163;27;Alagoas;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;255.615;27;Alagoas;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;27;Alagoas;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;424.931;28;Sergipe;11392;2019;95251;Total;6795;Total;11392
