ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_INF_ESC;DESC_INF_ESC;SUB_INDICADOR
Indicador  4.a.1;2;57.8;12;Acre;11085;2021;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;4.4;12;Acre;11085;2021;41117;Acesso à internet;11085
Indicador  4.a.1;2;227.0;12;Acre;11085;2021;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;29.8;12;Acre;11085;2021;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;70.3;12;Acre;11085;2021;41120;Abastecimento de água;11085
Indicador  4.a.1;2;58.1;12;Acre;11085;2021;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;12;Acre;11085;2022;41115;Total;11085
Indicador  4.a.1;2;57.1;12;Acre;11085;2022;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;5.5;12;Acre;11085;2022;41117;Acesso à internet;11085
Indicador  4.a.1;2;192.0;12;Acre;11085;2022;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;30.9;12;Acre;11085;2022;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;72.4;12;Acre;11085;2022;41120;Abastecimento de água;11085
Indicador  4.a.1;2;61.5;12;Acre;11085;2022;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;13;Amazonas;11085;2018;41115;Total;11085
Indicador  4.a.1;2;73.8;13;Amazonas;11085;2018;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;-;13;Amazonas;11085;2018;41117;Acesso à internet;11085
Indicador  4.a.1;2;989.0;13;Amazonas;11085;2018;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;7.3;13;Amazonas;11085;2018;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.4;13;Amazonas;11085;2018;41120;Abastecimento de água;11085
Indicador  4.a.1;2;48.3;13;Amazonas;11085;2018;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;13;Amazonas;11085;2019;41115;Total;11085
Indicador  4.a.1;2;74.2;13;Amazonas;11085;2019;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;7.0;13;Amazonas;11085;2019;41117;Acesso à internet;11085
Indicador  4.a.1;2;877.0;13;Amazonas;11085;2019;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;20.7;13;Amazonas;11085;2019;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.2;13;Amazonas;11085;2019;41120;Abastecimento de água;11085
