ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_FONT_EMIS_GAS_EFEITO_EST;DESC_FONT_EMIS_GAS_EFEITO_EST
Indicador  13.2.2;1758;2410838;1;Brasil;12341;2003;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;48582;1;Brasil;12341;2003;57206;Resíduos
Indicador  13.2.2;1758;287747;1;Brasil;12341;2003;57202;Energia
Indicador  13.2.2;1758;3480996;1;Brasil;12341;2004;0;Total
Indicador  13.2.2;1758;84361;1;Brasil;12341;2004;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;439101;1;Brasil;12341;2004;57204;Agropecuária
Indicador  13.2.2;1758;2604350;1;Brasil;12341;2004;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;49523;1;Brasil;12341;2004;57206;Resíduos
Indicador  13.2.2;1758;303661;1;Brasil;12341;2004;57202;Energia
Indicador  13.2.2;1758;2450349;1;Brasil;12341;2005;0;Total
Indicador  13.2.2;1758;84020;1;Brasil;12341;2005;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;438197;1;Brasil;12341;2005;57204;Agropecuária
Indicador  13.2.2;1758;1563262;1;Brasil;12341;2005;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;51475;1;Brasil;12341;2005;57206;Resíduos
Indicador  13.2.2;1758;313395;1;Brasil;12341;2005;57202;Energia
Indicador  13.2.2;1758;2090271;1;Brasil;12341;2006;0;Total
Indicador  13.2.2;1758;84674;1;Brasil;12341;2006;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;438427;1;Brasil;12341;2006;57204;Agropecuária
Indicador  13.2.2;1758;1195766;1;Brasil;12341;2006;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;53306;1;Brasil;12341;2006;57206;Resíduos
Indicador  13.2.2;1758;318098;1;Brasil;12341;2006;57202;Energia
Indicador  13.2.2;1758;1748067;1;Brasil;12341;2007;0;Total
Indicador  13.2.2;1758;88748;1;Brasil;12341;2007;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;429053;1;Brasil;12341;2007;57204;Agropecuária
Indicador  13.2.2;1758;845416;1;Brasil;12341;2007;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;53477;1;Brasil;12341;2007;57206;Resíduos
Indicador  13.2.2;1758;331373;1;Brasil;12341;2007;57202;Energia
Indicador  13.2.2;1758;1884052;1;Brasil;12341;2008;0;Total
Indicador  13.2.2;1758;87050;1;Brasil;12341;2008;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;436990;1;Brasil;12341;2008;57204;Agropecuária
Indicador  13.2.2;1758;954649;1;Brasil;12341;2008;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;54496;1;Brasil;12341;2008;57206;Resíduos
Indicador  13.2.2;1758;350867;1;Brasil;12341;2008;57202;Energia
Indicador  13.2.2;1758;1231880;1;Brasil;12341;2009;0;Total
Indicador  13.2.2;1758;77207;1;Brasil;12341;2009;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;442011;1;Brasil;12341;2009;57204;Agropecuária
Indicador  13.2.2;1758;317652;1;Brasil;12341;2009;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;56081;1;Brasil;12341;2009;57206;Resíduos
Indicador  13.2.2;1758;338929;1;Brasil;12341;2009;57202;Energia
Indicador  13.2.2;1758;1228189;1;Brasil;12341;2010;0;Total
Indicador  13.2.2;1758;87101;1;Brasil;12341;2010;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;458343;1;Brasil;12341;2010;57204;Agropecuária
Indicador  13.2.2;1758;252164;1;Brasil;12341;2010;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;57024;1;Brasil;12341;2010;57206;Resíduos
Indicador  13.2.2;1758;373557;1;Brasil;12341;2010;57202;Energia
Indicador  13.2.2;1758;1330959;1;Brasil;12341;2011;0;Total
Indicador  13.2.2;1758;93877;1;Brasil;12341;2011;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;463081;1;Brasil;12341;2011;57204;Agropecuária
Indicador  13.2.2;1758;328590;1;Brasil;12341;2011;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;57495;1;Brasil;12341;2011;57206;Resíduos
Indicador  13.2.2;1758;387916;1;Brasil;12341;2011;57202;Energia
Indicador  13.2.2;1758;1214649;1;Brasil;12341;2012;0;Total
Indicador  13.2.2;1758;95207;1;Brasil;12341;2012;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;462078;1;Brasil;12341;2012;57204;Agropecuária
Indicador  13.2.2;1758;178554;1;Brasil;12341;2012;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;57904;1;Brasil;12341;2012;57206;Resíduos
Indicador  13.2.2;1758;420906;1;Brasil;12341;2012;57202;Energia
Indicador  13.2.2;1758;1465502;1;Brasil;12341;2013;0;Total
Indicador  13.2.2;1758;96795;1;Brasil;12341;2013;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;467437;1;Brasil;12341;2013;57204;Agropecuária
Indicador  13.2.2;1758;387359;1;Brasil;12341;2013;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;61560;1;Brasil;12341;2013;57206;Resíduos
Indicador  13.2.2;1758;452351;1;Brasil;12341;2013;57202;Energia
Indicador  13.2.2;1758;1354189;1;Brasil;12341;2014;0;Total
Indicador  13.2.2;1758;94491;1;Brasil;12341;2014;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;472846;1;Brasil;12341;2014;57204;Agropecuária
Indicador  13.2.2;1758;246064;1;Brasil;12341;2014;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;61907;1;Brasil;12341;2014;57206;Resíduos
Indicador  13.2.2;1758;478881;1;Brasil;12341;2014;57202;Energia
Indicador  13.2.2;1758;1461634;1;Brasil;12341;2015;0;Total
Indicador  13.2.2;1758;95421;1;Brasil;12341;2015;57203;Processos industriais e uso de produtos (IPPU)
