ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SIT_SEG_ALI_DOM;DESC_SIT_SEG_ALI_DOM;SUB_INDICADOR
Indicador  2.1.2;2;5.8;1;Brasil;2133;2009;109102;Com insegurança alimentar grave;2133
Indicador  2.1.2;2;74.2;1;Brasil;2133;2013;109098;Com segurança alimentar;2133
Indicador  2.1.2;2;25.8;1;Brasil;2133;2013;109099;Com insegurança alimentar;2133
Indicador  2.1.2;2;17.1;1;Brasil;2133;2013;109100;Com insegurança alimentar leve;2133
Indicador  2.1.2;2;5.1;1;Brasil;2133;2013;109101;Com insegurança alimentar moderada;2133
Indicador  2.1.2;2;3.6;1;Brasil;2133;2013;109102;Com insegurança alimentar grave;2133
Indicador  2.1.2;2;59.0;1;Brasil;2133;2018;109098;Com segurança alimentar;2133
Indicador  2.1.2;2;41.0;1;Brasil;2133;2018;109099;Com insegurança alimentar;2133
Indicador  2.1.2;2;27.0;1;Brasil;2133;2018;109100;Com insegurança alimentar leve;2133
Indicador  2.1.2;2;9.0;1;Brasil;2133;2018;109101;Com insegurança alimentar moderada;2133
Indicador  2.1.2;2;5.0;1;Brasil;2133;2018;109102;Com insegurança alimentar grave;2133
Indicador  2.1.2;2;70.3;1;Brasil;2133;2023;109098;Com segurança alimentar;2133
Indicador  2.1.2;2;29.7;1;Brasil;2133;2023;109099;Com insegurança alimentar;2133
Indicador  2.1.2;2;20.2;1;Brasil;2133;2023;109100;Com insegurança alimentar leve;2133
Indicador  2.1.2;2;5.5;1;Brasil;2133;2023;109101;Com insegurança alimentar moderada;2133
Indicador  2.1.2;2;4.0;1;Brasil;2133;2023;109102;Com insegurança alimentar grave;2133
Indicador  2.1.2;2;62.3;1;Brasil;9593;2004;109098;Com segurança alimentar;9593
Indicador  2.1.2;2;37.7;1;Brasil;9593;2004;109099;Com insegurança alimentar;9593
Indicador  2.1.2;2;19.9;1;Brasil;9593;2004;109100;Com insegurança alimentar leve;9593
Indicador  2.1.2;2;10.4;1;Brasil;9593;2004;109101;Com insegurança alimentar moderada;9593
Indicador  2.1.2;2;7.4;1;Brasil;9593;2004;109102;Com insegurança alimentar grave;9593
Indicador  2.1.2;2;67.1;1;Brasil;9593;2009;109098;Com segurança alimentar;9593
Indicador  2.1.2;2;32.9;1;Brasil;9593;2009;109099;Com insegurança alimentar;9593
Indicador  2.1.2;2;20.8;1;Brasil;9593;2009;109100;Com insegurança alimentar leve;9593
Indicador  2.1.2;2;6.9;1;Brasil;9593;2009;109101;Com insegurança alimentar moderada;9593
Indicador  2.1.2;2;5.3;1;Brasil;9593;2009;109102;Com insegurança alimentar grave;9593
Indicador  2.1.2;2;76.7;1;Brasil;9593;2013;109098;Com segurança alimentar;9593
Indicador  2.1.2;2;23.3;1;Brasil;9593;2013;109099;Com insegurança alimentar;9593
Indicador  2.1.2;2;15.8;1;Brasil;9593;2013;109100;Com insegurança alimentar leve;9593
Indicador  2.1.2;2;4.3;1;Brasil;9593;2013;109101;Com insegurança alimentar moderada;9593
Indicador  2.1.2;2;3.1;1;Brasil;9593;2013;109102;Com insegurança alimentar grave;9593
Indicador  2.1.2;2;60.9;1;Brasil;9593;2018;109098;Com segurança alimentar;9593
Indicador  2.1.2;2;39.1;1;Brasil;9593;2018;109099;Com insegurança alimentar;9593
Indicador  2.1.2;2;26.5;1;Brasil;9593;2018;109100;Com insegurança alimentar leve;9593
Indicador  2.1.2;2;8.2;1;Brasil;9593;2018;109101;Com insegurança alimentar moderada;9593
Indicador  2.1.2;2;4.4;1;Brasil;9593;2018;109102;Com insegurança alimentar grave;9593
Indicador  2.1.2;2;71.5;1;Brasil;9593;2023;109098;Com segurança alimentar;9593
Indicador  2.1.2;2;28.5;1;Brasil;9593;2023;109099;Com insegurança alimentar;9593
Indicador  2.1.2;2;19.6;1;Brasil;9593;2023;109100;Com insegurança alimentar leve;9593
