ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_REND_MENSAL_DOM_PER_CAP;DESC_REND_MENSAL_DOM_PER_CAP;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32852;Sem rendimento até 1/4 do salário mínimo;1;Urbana;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32852;Sem rendimento até 1/4 do salário mínimo;2;Rural;11392
Indicador  16.1.3.4;1572;138.128;13;Amazonas;11392;2019;32853;Mais de 1/4 a 1/2 do salário mínimo;6795;Total;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32853;Mais de 1/4 a 1/2 do salário mínimo;1;Urbana;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32853;Mais de 1/4 a 1/2 do salário mínimo;2;Rural;11392
Indicador  16.1.3.4;1572;131.661;13;Amazonas;11392;2019;32854;Mais de 1/2 a 1 salário mínimo;6795;Total;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32854;Mais de 1/2 a 1 salário mínimo;1;Urbana;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32854;Mais de 1/2 a 1 salário mínimo;2;Rural;11392
Indicador  16.1.3.4;1572;88.218;13;Amazonas;11392;2019;32855;Mais de 1 a 2 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32855;Mais de 1 a 2 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32855;Mais de 1 a 2 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;15.174;13;Amazonas;11392;2019;32856;Mais de 2 a 3 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32856;Mais de 2 a 3 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32856;Mais de 2 a 3 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;17.947;13;Amazonas;11392;2019;32857;Mais de 3 a 5 salários mínimos;6795;Total;11392
