ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3;1572;-;23;Ceará;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;713.081;23;Ceará;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;23;Ceará;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;23;Ceará;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;478.193;24;Rio Grande do Norte;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;24;Rio Grande do Norte;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;24;Rio Grande do Norte;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;200.791;24;Rio Grande do Norte;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;24;Rio Grande do Norte;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;24;Rio Grande do Norte;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;277.402;24;Rio Grande do Norte;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;24;Rio Grande do Norte;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;24;Rio Grande do Norte;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;469.372;25;Paraíba;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;25;Paraíba;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;25;Paraíba;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;208.703;25;Paraíba;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;25;Paraíba;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;25;Paraíba;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;260.669;25;Paraíba;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;25;Paraíba;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;25;Paraíba;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;1120.465;26;Pernambuco;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;26;Pernambuco;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;26;Pernambuco;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;444.014;26;Pernambuco;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;26;Pernambuco;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;26;Pernambuco;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;676.450;26;Pernambuco;11392;2019;110096;Feminino;6795;Total;11392
