ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ATV_TRAB;DESC_ATV_TRAB
Indicador  8.3.1.2;2;61.0;22;Piauí;8883;2017;99444;Total
Indicador  8.3.1.2;2;96.4;22;Piauí;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;51.5;22;Piauí;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;56.6;22;Piauí;8883;2018;99444;Total
Indicador  8.3.1.2;2;95.1;22;Piauí;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;47.1;22;Piauí;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;60.3;22;Piauí;8883;2019;99444;Total
Indicador  8.3.1.2;2;94.6;22;Piauí;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;53.0;22;Piauí;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;57.5;22;Piauí;8883;2020;99444;Total
Indicador  8.3.1.2;2;95.2;22;Piauí;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;50.9;22;Piauí;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;58.4;22;Piauí;8883;2021;99444;Total
Indicador  8.3.1.2;2;97.3;22;Piauí;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;49.8;22;Piauí;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;54.7;22;Piauí;8883;2022;99444;Total
Indicador  8.3.1.2;2;90.4;22;Piauí;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;48.9;22;Piauí;8883;2022;99161;Não-agrícola
Indicador  8.3.1.2;2;54.4;22;Piauí;8883;2023;99444;Total
Indicador  8.3.1.2;2;92.0;22;Piauí;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;48.6;22;Piauí;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;56.5;22;Piauí;8883;2024;99444;Total
Indicador  8.3.1.2;2;95.7;22;Piauí;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;50.6;22;Piauí;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;52.6;23;Ceará;8883;2016;99444;Total
Indicador  8.3.1.2;2;94.1;23;Ceará;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;47.0;23;Ceará;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;53.6;23;Ceará;8883;2017;99444;Total
Indicador  8.3.1.2;2;94.9;23;Ceará;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;48.5;23;Ceará;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;54.6;23;Ceará;8883;2018;99444;Total
Indicador  8.3.1.2;2;95.4;23;Ceará;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;49.4;23;Ceará;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;53.8;23;Ceará;8883;2019;99444;Total
Indicador  8.3.1.2;2;93.2;23;Ceará;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;48.9;23;Ceará;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;50.7;23;Ceará;8883;2020;99444;Total
Indicador  8.3.1.2;2;94.6;23;Ceará;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;45.8;23;Ceará;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;51.7;23;Ceará;8883;2021;99444;Total
Indicador  8.3.1.2;2;88.7;23;Ceará;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;47.8;23;Ceará;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;53.3;23;Ceará;8883;2022;99444;Total
Indicador  8.3.1.2;2;95.8;23;Ceará;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;49.7;23;Ceará;8883;2022;99161;Não-agrícola
