ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE
Indicador  8.5.2.3;2;15.3;1;Brasil;10004;2023;100052;18 a 24 anos
Indicador  8.5.2.3;2;9.0;1;Brasil;10004;2023;1145;25 a 29 anos
Indicador  8.5.2.3;2;6.3;1;Brasil;10004;2023;3299;30 a 39 anos
Indicador  8.5.2.3;2;5.6;1;Brasil;10004;2023;3300;40 a 49 anos
Indicador  8.5.2.3;2;4.6;1;Brasil;10004;2023;3301;50 a 59 anos
Indicador  8.5.2.3;2;3.5;1;Brasil;10004;2023;3302;60 anos ou mais
Indicador  8.5.2.3;2;6.6;1;Brasil;10004;2024;95253;Total
Indicador  8.5.2.3;2;26.7;1;Brasil;10004;2024;2792;15 a 17 anos
Indicador  8.5.2.3;2;13.5;1;Brasil;10004;2024;100052;18 a 24 anos
Indicador  8.5.2.3;2;8.0;1;Brasil;10004;2024;1145;25 a 29 anos
Indicador  8.5.2.3;2;5.4;1;Brasil;10004;2024;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.4;1;Brasil;10004;2024;3300;40 a 49 anos
Indicador  8.5.2.3;2;4.3;1;Brasil;10004;2024;3301;50 a 59 anos
Indicador  8.5.2.3;2;2.9;1;Brasil;10004;2024;3302;60 anos ou mais
Indicador  8.5.2.3;2;5.6;11;Rondônia;10004;2012;95253;Total
Indicador  8.5.2.3;2;17.0;11;Rondônia;10004;2012;2792;15 a 17 anos
Indicador  8.5.2.3;2;9.6;11;Rondônia;10004;2012;100052;18 a 24 anos
Indicador  8.5.2.3;2;6.8;11;Rondônia;10004;2012;1145;25 a 29 anos
Indicador  8.5.2.3;2;4.6;11;Rondônia;10004;2012;3299;30 a 39 anos
Indicador  8.5.2.3;2;1.8;11;Rondônia;10004;2012;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.8;11;Rondônia;10004;2012;3301;50 a 59 anos
Indicador  8.5.2.3;2;2.4;11;Rondônia;10004;2012;3302;60 anos ou mais
Indicador  8.5.2.3;2;5.1;11;Rondônia;10004;2013;95253;Total
Indicador  8.5.2.3;2;9.2;11;Rondônia;10004;2013;2792;15 a 17 anos
Indicador  8.5.2.3;2;11.1;11;Rondônia;10004;2013;100052;18 a 24 anos
Indicador  8.5.2.3;2;5.3;11;Rondônia;10004;2013;1145;25 a 29 anos
Indicador  8.5.2.3;2;4.6;11;Rondônia;10004;2013;3299;30 a 39 anos
Indicador  8.5.2.3;2;3.5;11;Rondônia;10004;2013;3300;40 a 49 anos
Indicador  8.5.2.3;2;0.8;11;Rondônia;10004;2013;3301;50 a 59 anos
Indicador  8.5.2.3;2;0.3;11;Rondônia;10004;2013;3302;60 anos ou mais
Indicador  8.5.2.3;2;3.9;11;Rondônia;10004;2014;95253;Total
Indicador  8.5.2.3;2;13.0;11;Rondônia;10004;2014;2792;15 a 17 anos
Indicador  8.5.2.3;2;8.1;11;Rondônia;10004;2014;100052;18 a 24 anos
Indicador  8.5.2.3;2;3.9;11;Rondônia;10004;2014;1145;25 a 29 anos
Indicador  8.5.2.3;2;3.3;11;Rondônia;10004;2014;3299;30 a 39 anos
Indicador  8.5.2.3;2;1.9;11;Rondônia;10004;2014;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.1;11;Rondônia;10004;2014;3301;50 a 59 anos
Indicador  8.5.2.3;2;0.9;11;Rondônia;10004;2014;3302;60 anos ou mais
Indicador  8.5.2.3;2;5.7;11;Rondônia;10004;2015;95253;Total
Indicador  8.5.2.3;2;22.5;11;Rondônia;10004;2015;2792;15 a 17 anos
Indicador  8.5.2.3;2;11.2;11;Rondônia;10004;2015;100052;18 a 24 anos
Indicador  8.5.2.3;2;5.2;11;Rondônia;10004;2015;1145;25 a 29 anos
Indicador  8.5.2.3;2;5.5;11;Rondônia;10004;2015;3299;30 a 39 anos
Indicador  8.5.2.3;2;3.1;11;Rondônia;10004;2015;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.0;11;Rondônia;10004;2015;3301;50 a 59 anos
Indicador  8.5.2.3;2;1.5;11;Rondônia;10004;2015;3302;60 anos ou mais
Indicador  8.5.2.3;2;8.1;11;Rondônia;10004;2016;95253;Total
Indicador  8.5.2.3;2;28.2;11;Rondônia;10004;2016;2792;15 a 17 anos
Indicador  8.5.2.3;2;13.9;11;Rondônia;10004;2016;100052;18 a 24 anos
Indicador  8.5.2.3;2;11.3;11;Rondônia;10004;2016;1145;25 a 29 anos
Indicador  8.5.2.3;2;6.3;11;Rondônia;10004;2016;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.7;11;Rondônia;10004;2016;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.4;11;Rondônia;10004;2016;3301;50 a 59 anos
Indicador  8.5.2.3;2;1.0;11;Rondônia;10004;2016;3302;60 anos ou mais
Indicador  8.5.2.3;2;7.6;11;Rondônia;10004;2017;95253;Total
Indicador  8.5.2.3;2;18.7;11;Rondônia;10004;2017;2792;15 a 17 anos
Indicador  8.5.2.3;2;18.1;11;Rondônia;10004;2017;100052;18 a 24 anos
Indicador  8.5.2.3;2;7.3;11;Rondônia;10004;2017;1145;25 a 29 anos
Indicador  8.5.2.3;2;4.7;11;Rondônia;10004;2017;3299;30 a 39 anos
Indicador  8.5.2.3;2;3.2;11;Rondônia;10004;2017;3300;40 a 49 anos
Indicador  8.5.2.3;2;5.8;11;Rondônia;10004;2017;3301;50 a 59 anos
Indicador  8.5.2.3;2;2.4;11;Rondônia;10004;2017;3302;60 anos ou mais
Indicador  8.5.2.3;2;9.4;11;Rondônia;10004;2018;95253;Total
Indicador  8.5.2.3;2;29.4;11;Rondônia;10004;2018;2792;15 a 17 anos
Indicador  8.5.2.3;2;20.5;11;Rondônia;10004;2018;100052;18 a 24 anos
Indicador  8.5.2.3;2;11.8;11;Rondônia;10004;2018;1145;25 a 29 anos
Indicador  8.5.2.3;2;7.6;11;Rondônia;10004;2018;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.7;11;Rondônia;10004;2018;3300;40 a 49 anos
Indicador  8.5.2.3;2;2.0;11;Rondônia;10004;2018;3301;50 a 59 anos
Indicador  8.5.2.3;2;2.7;11;Rondônia;10004;2018;3302;60 anos ou mais
Indicador  8.5.2.3;2;8.1;11;Rondônia;10004;2019;95253;Total
Indicador  8.5.2.3;2;23.6;11;Rondônia;10004;2019;2792;15 a 17 anos
Indicador  8.5.2.3;2;18.3;11;Rondônia;10004;2019;100052;18 a 24 anos
Indicador  8.5.2.3;2;7.4;11;Rondônia;10004;2019;1145;25 a 29 anos
Indicador  8.5.2.3;2;6.2;11;Rondônia;10004;2019;3299;30 a 39 anos
Indicador  8.5.2.3;2;3.7;11;Rondônia;10004;2019;3300;40 a 49 anos
Indicador  8.5.2.3;2;5.2;11;Rondônia;10004;2019;3301;50 a 59 anos
Indicador  8.5.2.3;2;1.1;11;Rondônia;10004;2019;3302;60 anos ou mais
Indicador  8.5.2.3;2;10.1;11;Rondônia;10004;2020;95253;Total
Indicador  8.5.2.3;2;31.7;11;Rondônia;10004;2020;2792;15 a 17 anos
Indicador  8.5.2.3;2;20.4;11;Rondônia;10004;2020;100052;18 a 24 anos
Indicador  8.5.2.3;2;11.2;11;Rondônia;10004;2020;1145;25 a 29 anos
Indicador  8.5.2.3;2;9.4;11;Rondônia;10004;2020;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.9;11;Rondônia;10004;2020;3300;40 a 49 anos
Indicador  8.5.2.3;2;4.3;11;Rondônia;10004;2020;3301;50 a 59 anos
Indicador  8.5.2.3;2;3.2;11;Rondônia;10004;2020;3302;60 anos ou mais
Indicador  8.5.2.3;2;9.3;11;Rondônia;10004;2021;95253;Total
Indicador  8.5.2.3;2;29.5;11;Rondônia;10004;2021;2792;15 a 17 anos
Indicador  8.5.2.3;2;16.9;11;Rondônia;10004;2021;100052;18 a 24 anos
Indicador  8.5.2.3;2;9.7;11;Rondônia;10004;2021;1145;25 a 29 anos
Indicador  8.5.2.3;2;7.5;11;Rondônia;10004;2021;3299;30 a 39 anos
Indicador  8.5.2.3;2;5.9;11;Rondônia;10004;2021;3300;40 a 49 anos
Indicador  8.5.2.3;2;4.4;11;Rondônia;10004;2021;3301;50 a 59 anos
Indicador  8.5.2.3;2;7.6;11;Rondônia;10004;2021;3302;60 anos ou mais
Indicador  8.5.2.3;2;4.2;11;Rondônia;10004;2022;95253;Total
Indicador  8.5.2.3;2;20.4;11;Rondônia;10004;2022;2792;15 a 17 anos
Indicador  8.5.2.3;2;10.3;11;Rondônia;10004;2022;100052;18 a 24 anos
Indicador  8.5.2.3;2;4.5;11;Rondônia;10004;2022;1145;25 a 29 anos
Indicador  8.5.2.3;2;2.4;11;Rondônia;10004;2022;3299;30 a 39 anos
Indicador  8.5.2.3;2;2.8;11;Rondônia;10004;2022;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.2;11;Rondônia;10004;2022;3301;50 a 59 anos
Indicador  8.5.2.3;2;0.9;11;Rondônia;10004;2022;3302;60 anos ou mais
Indicador  8.5.2.3;2;3.1;11;Rondônia;10004;2023;95253;Total
Indicador  8.5.2.3;2;6.6;11;Rondônia;10004;2023;2792;15 a 17 anos
