ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;SUB_INDICADOR
Indicador  4.2.2;2;93.0;17;Tocantins;4796;2016;4;Homens;4796
Indicador  4.2.2;2;96.3;17;Tocantins;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;95.3;17;Tocantins;4796;2017;6794;Total;4796
Indicador  4.2.2;2;93.6;17;Tocantins;4796;2017;4;Homens;4796
Indicador  4.2.2;2;97.0;17;Tocantins;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;98.1;17;Tocantins;4796;2018;6794;Total;4796
Indicador  4.2.2;2;98.0;17;Tocantins;4796;2018;4;Homens;4796
Indicador  4.2.2;2;98.1;17;Tocantins;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;98.3;17;Tocantins;4796;2019;6794;Total;4796
Indicador  4.2.2;2;100.0;17;Tocantins;4796;2019;4;Homens;4796
Indicador  4.2.2;2;95.9;17;Tocantins;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;95.6;17;Tocantins;4796;2022;6794;Total;4796
Indicador  4.2.2;2;90.9;17;Tocantins;4796;2022;4;Homens;4796
Indicador  4.2.2;2;99.1;17;Tocantins;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;98.9;17;Tocantins;4796;2023;6794;Total;4796
Indicador  4.2.2;2;98.7;17;Tocantins;4796;2023;4;Homens;4796
Indicador  4.2.2;2;99.2;17;Tocantins;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;97.7;21;Maranhão;4796;2016;6794;Total;4796
Indicador  4.2.2;2;98.4;21;Maranhão;4796;2016;4;Homens;4796
Indicador  4.2.2;2;96.9;21;Maranhão;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;98.4;21;Maranhão;4796;2017;6794;Total;4796
Indicador  4.2.2;2;98.4;21;Maranhão;4796;2017;4;Homens;4796
Indicador  4.2.2;2;98.4;21;Maranhão;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;98.2;21;Maranhão;4796;2018;6794;Total;4796
Indicador  4.2.2;2;98.1;21;Maranhão;4796;2018;4;Homens;4796
Indicador  4.2.2;2;98.3;21;Maranhão;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;98.4;21;Maranhão;4796;2019;6794;Total;4796
Indicador  4.2.2;2;99.2;21;Maranhão;4796;2019;4;Homens;4796
Indicador  4.2.2;2;97.5;21;Maranhão;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;98.0;21;Maranhão;4796;2022;6794;Total;4796
Indicador  4.2.2;2;98.5;21;Maranhão;4796;2022;4;Homens;4796
Indicador  4.2.2;2;97.5;21;Maranhão;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;98.5;21;Maranhão;4796;2023;6794;Total;4796
Indicador  4.2.2;2;98.1;21;Maranhão;4796;2023;4;Homens;4796
Indicador  4.2.2;2;98.9;21;Maranhão;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;99.7;22;Piauí;4796;2016;6794;Total;4796
Indicador  4.2.2;2;100.0;22;Piauí;4796;2016;4;Homens;4796
Indicador  4.2.2;2;99.3;22;Piauí;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;99.6;22;Piauí;4796;2017;6794;Total;4796
Indicador  4.2.2;2;99.2;22;Piauí;4796;2017;4;Homens;4796
Indicador  4.2.2;2;100.0;22;Piauí;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;99.0;22;Piauí;4796;2018;6794;Total;4796
Indicador  4.2.2;2;98.6;22;Piauí;4796;2018;4;Homens;4796
Indicador  4.2.2;2;99.4;22;Piauí;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;100.0;22;Piauí;4796;2019;6794;Total;4796
Indicador  4.2.2;2;100.0;22;Piauí;4796;2019;4;Homens;4796
Indicador  4.2.2;2;100.0;22;Piauí;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;97.8;22;Piauí;4796;2022;6794;Total;4796
Indicador  4.2.2;2;97.2;22;Piauí;4796;2022;4;Homens;4796
Indicador  4.2.2;2;98.5;22;Piauí;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;99.6;22;Piauí;4796;2023;6794;Total;4796
Indicador  4.2.2;2;99.2;22;Piauí;4796;2023;4;Homens;4796
Indicador  4.2.2;2;100.0;22;Piauí;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;98.6;23;Ceará;4796;2016;6794;Total;4796
Indicador  4.2.2;2;97.4;23;Ceará;4796;2016;4;Homens;4796
Indicador  4.2.2;2;99.6;23;Ceará;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;98.0;23;Ceará;4796;2017;6794;Total;4796
Indicador  4.2.2;2;97.7;23;Ceará;4796;2017;4;Homens;4796
Indicador  4.2.2;2;98.4;23;Ceará;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;99.8;23;Ceará;4796;2018;6794;Total;4796
Indicador  4.2.2;2;100.0;23;Ceará;4796;2018;4;Homens;4796
Indicador  4.2.2;2;99.7;23;Ceará;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;98.1;23;Ceará;4796;2019;6794;Total;4796
Indicador  4.2.2;2;98.8;23;Ceará;4796;2019;4;Homens;4796
Indicador  4.2.2;2;97.4;23;Ceará;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;97.4;23;Ceará;4796;2022;6794;Total;4796
Indicador  4.2.2;2;98.2;23;Ceará;4796;2022;4;Homens;4796
Indicador  4.2.2;2;96.7;23;Ceará;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;99.3;23;Ceará;4796;2023;6794;Total;4796
Indicador  4.2.2;2;100.0;23;Ceará;4796;2023;4;Homens;4796
Indicador  4.2.2;2;98.5;23;Ceará;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;97.0;24;Rio Grande do Norte;4796;2016;6794;Total;4796
Indicador  4.2.2;2;97.5;24;Rio Grande do Norte;4796;2016;4;Homens;4796
Indicador  4.2.2;2;96.5;24;Rio Grande do Norte;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;98.3;24;Rio Grande do Norte;4796;2017;6794;Total;4796
Indicador  4.2.2;2;97.3;24;Rio Grande do Norte;4796;2017;4;Homens;4796
Indicador  4.2.2;2;99.2;24;Rio Grande do Norte;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;98.0;24;Rio Grande do Norte;4796;2018;6794;Total;4796
Indicador  4.2.2;2;100.0;24;Rio Grande do Norte;4796;2018;4;Homens;4796
Indicador  4.2.2;2;96.1;24;Rio Grande do Norte;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;99.4;24;Rio Grande do Norte;4796;2019;6794;Total;4796
Indicador  4.2.2;2;100.0;24;Rio Grande do Norte;4796;2019;4;Homens;4796
Indicador  4.2.2;2;98.8;24;Rio Grande do Norte;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;96.3;24;Rio Grande do Norte;4796;2022;6794;Total;4796
Indicador  4.2.2;2;98.7;24;Rio Grande do Norte;4796;2022;4;Homens;4796
Indicador  4.2.2;2;93.2;24;Rio Grande do Norte;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;99.2;24;Rio Grande do Norte;4796;2023;6794;Total;4796
Indicador  4.2.2;2;100.0;24;Rio Grande do Norte;4796;2023;4;Homens;4796
Indicador  4.2.2;2;98.1;24;Rio Grande do Norte;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;95.0;25;Paraíba;4796;2016;6794;Total;4796
Indicador  4.2.2;2;94.3;25;Paraíba;4796;2016;4;Homens;4796
Indicador  4.2.2;2;95.6;25;Paraíba;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;97.9;25;Paraíba;4796;2017;6794;Total;4796
Indicador  4.2.2;2;98.7;25;Paraíba;4796;2017;4;Homens;4796
Indicador  4.2.2;2;96.9;25;Paraíba;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;98.4;25;Paraíba;4796;2018;6794;Total;4796
Indicador  4.2.2;2;98.4;25;Paraíba;4796;2018;4;Homens;4796
Indicador  4.2.2;2;98.4;25;Paraíba;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;96.7;25;Paraíba;4796;2019;6794;Total;4796
Indicador  4.2.2;2;95.7;25;Paraíba;4796;2019;4;Homens;4796
Indicador  4.2.2;2;97.8;25;Paraíba;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;93.1;25;Paraíba;4796;2022;6794;Total;4796
Indicador  4.2.2;2;90.4;25;Paraíba;4796;2022;4;Homens;4796
Indicador  4.2.2;2;96.5;25;Paraíba;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;96.1;25;Paraíba;4796;2023;6794;Total;4796
Indicador  4.2.2;2;94.7;25;Paraíba;4796;2023;4;Homens;4796
Indicador  4.2.2;2;97.3;25;Paraíba;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;97.6;26;Pernambuco;4796;2016;6794;Total;4796
Indicador  4.2.2;2;96.8;26;Pernambuco;4796;2016;4;Homens;4796
Indicador  4.2.2;2;98.3;26;Pernambuco;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;96.8;26;Pernambuco;4796;2017;6794;Total;4796
Indicador  4.2.2;2;96.1;26;Pernambuco;4796;2017;4;Homens;4796
Indicador  4.2.2;2;97.5;26;Pernambuco;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;96.9;26;Pernambuco;4796;2018;6794;Total;4796
Indicador  4.2.2;2;97.1;26;Pernambuco;4796;2018;4;Homens;4796
Indicador  4.2.2;2;96.6;26;Pernambuco;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;98.0;26;Pernambuco;4796;2019;6794;Total;4796
Indicador  4.2.2;2;96.9;26;Pernambuco;4796;2019;4;Homens;4796
Indicador  4.2.2;2;98.9;26;Pernambuco;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;95.3;26;Pernambuco;4796;2022;6794;Total;4796
Indicador  4.2.2;2;96.5;26;Pernambuco;4796;2022;4;Homens;4796
Indicador  4.2.2;2;93.5;26;Pernambuco;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;94.2;26;Pernambuco;4796;2023;6794;Total;4796
Indicador  4.2.2;2;93.6;26;Pernambuco;4796;2023;4;Homens;4796
Indicador  4.2.2;2;94.7;26;Pernambuco;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;92.6;27;Alagoas;4796;2016;6794;Total;4796
Indicador  4.2.2;2;93.3;27;Alagoas;4796;2016;4;Homens;4796
Indicador  4.2.2;2;91.8;27;Alagoas;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;94.6;27;Alagoas;4796;2017;6794;Total;4796
Indicador  4.2.2;2;95.3;27;Alagoas;4796;2017;4;Homens;4796
Indicador  4.2.2;2;93.9;27;Alagoas;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;96.8;27;Alagoas;4796;2018;6794;Total;4796
Indicador  4.2.2;2;97.4;27;Alagoas;4796;2018;4;Homens;4796
Indicador  4.2.2;2;96.2;27;Alagoas;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;96.8;27;Alagoas;4796;2019;6794;Total;4796
Indicador  4.2.2;2;96.4;27;Alagoas;4796;2019;4;Homens;4796
Indicador  4.2.2;2;97.1;27;Alagoas;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;93.5;27;Alagoas;4796;2022;6794;Total;4796
Indicador  4.2.2;2;95.8;27;Alagoas;4796;2022;4;Homens;4796
Indicador  4.2.2;2;90.6;27;Alagoas;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;95.4;27;Alagoas;4796;2023;6794;Total;4796
Indicador  4.2.2;2;96.5;27;Alagoas;4796;2023;4;Homens;4796
Indicador  4.2.2;2;94.1;27;Alagoas;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;93.5;28;Sergipe;4796;2016;6794;Total;4796
Indicador  4.2.2;2;92.9;28;Sergipe;4796;2016;4;Homens;4796
Indicador  4.2.2;2;94.1;28;Sergipe;4796;2016;5;Mulheres;4796
Indicador  4.2.2;2;96.2;28;Sergipe;4796;2017;6794;Total;4796
Indicador  4.2.2;2;96.9;28;Sergipe;4796;2017;4;Homens;4796
Indicador  4.2.2;2;95.6;28;Sergipe;4796;2017;5;Mulheres;4796
Indicador  4.2.2;2;97.3;28;Sergipe;4796;2018;6794;Total;4796
Indicador  4.2.2;2;97.4;28;Sergipe;4796;2018;4;Homens;4796
Indicador  4.2.2;2;97.1;28;Sergipe;4796;2018;5;Mulheres;4796
Indicador  4.2.2;2;98.2;28;Sergipe;4796;2019;6794;Total;4796
Indicador  4.2.2;2;98.3;28;Sergipe;4796;2019;4;Homens;4796
Indicador  4.2.2;2;98.1;28;Sergipe;4796;2019;5;Mulheres;4796
Indicador  4.2.2;2;95.8;28;Sergipe;4796;2022;6794;Total;4796
Indicador  4.2.2;2;100.0;28;Sergipe;4796;2022;4;Homens;4796
Indicador  4.2.2;2;91.4;28;Sergipe;4796;2022;5;Mulheres;4796
Indicador  4.2.2;2;96.9;28;Sergipe;4796;2023;6794;Total;4796
Indicador  4.2.2;2;97.6;28;Sergipe;4796;2023;4;Homens;4796
Indicador  4.2.2;2;95.8;28;Sergipe;4796;2023;5;Mulheres;4796
Indicador  4.2.2;2;94.5;29;Bahia;4796;2016;6794;Total;4796
Indicador  4.2.2;2;92.1;29;Bahia;4796;2016;4;Homens;4796
