ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE;SUB_INDICADOR
Indicador  3.6.1;1736;6.1;1;Brasil;9734;2022;5;Mulheres;1151;55 a 59 anos;9734
Indicador  3.6.1;1736;7.5;1;Brasil;9734;2022;5;Mulheres;3302;60 anos ou mais;9734
Indicador  3.6.1;1736;22.8;11;Rondônia;9734;2018;6794;Total;95253;Total;9734
Indicador  3.6.1;1736;6.5;11;Rondônia;9734;2018;6794;Total;1140;0 a 4 anos;9734
Indicador  3.6.1;1736;1.5;11;Rondônia;9734;2018;6794;Total;1141;5 a 9 anos;9734
Indicador  3.6.1;1736;3.5;11;Rondônia;9734;2018;6794;Total;1142;10 a 14 anos;9734
Indicador  3.6.1;1736;18.1;11;Rondônia;9734;2018;6794;Total;1143;15 a 19 anos;9734
Indicador  3.6.1;1736;32.4;11;Rondônia;9734;2018;6794;Total;1144;20 a 24 anos;9734
Indicador  3.6.1;1736;25.7;11;Rondônia;9734;2018;6794;Total;1145;25 a 29 anos;9734
Indicador  3.6.1;1736;19.5;11;Rondônia;9734;2018;6794;Total;1146;30 a 34 anos;9734
Indicador  3.6.1;1736;22.8;11;Rondônia;9734;2018;6794;Total;1147;35 a 39 anos;9734
Indicador  3.6.1;1736;33.9;11;Rondônia;9734;2018;6794;Total;1148;40 a 44 anos;9734
Indicador  3.6.1;1736;23.4;11;Rondônia;9734;2018;6794;Total;1149;45 a 49 anos;9734
Indicador  3.6.1;1736;29.7;11;Rondônia;9734;2018;6794;Total;1150;50 a 54 anos;9734
Indicador  3.6.1;1736;36.6;11;Rondônia;9734;2018;6794;Total;1151;55 a 59 anos;9734
Indicador  3.6.1;1736;45.6;11;Rondônia;9734;2018;6794;Total;3302;60 anos ou mais;9734
Indicador  3.6.1;1736;35.3;11;Rondônia;9734;2018;4;Homens;95253;Total;9734
Indicador  3.6.1;1736;5.6;11;Rondônia;9734;2018;4;Homens;1140;0 a 4 anos;9734
Indicador  3.6.1;1736;-;11;Rondônia;9734;2018;4;Homens;1141;5 a 9 anos;9734
Indicador  3.6.1;1736;2.8;11;Rondônia;9734;2018;4;Homens;1142;10 a 14 anos;9734
Indicador  3.6.1;1736;30.4;11;Rondônia;9734;2018;4;Homens;1143;15 a 19 anos;9734
Indicador  3.6.1;1736;52.8;11;Rondônia;9734;2018;4;Homens;1144;20 a 24 anos;9734
Indicador  3.6.1;1736;44.6;11;Rondônia;9734;2018;4;Homens;1145;25 a 29 anos;9734
