ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE
Indicador  5.4.1;2;10.8;11;Rondônia;9471;2016;5;Mulheres;95253;Total
Indicador  5.4.1;2;9.9;11;Rondônia;9471;2016;5;Mulheres;41114;14 a 29 anos
Indicador  5.4.1;2;11.7;11;Rondônia;9471;2016;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;11.4;11;Rondônia;9471;2016;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;10.1;11;Rondônia;9471;2016;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;7.8;11;Rondônia;9471;2017;6794;Total;95253;Total
Indicador  5.4.1;2;6.6;11;Rondônia;9471;2017;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;8.5;11;Rondônia;9471;2017;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;8.9;11;Rondônia;9471;2017;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;7.5;11;Rondônia;9471;2017;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;4.7;11;Rondônia;9471;2017;4;Homens;95253;Total
Indicador  5.4.1;2;3.8;11;Rondônia;9471;2017;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;5.2;11;Rondônia;9471;2017;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;5.3;11;Rondônia;9471;2017;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;5.0;11;Rondônia;9471;2017;4;Homens;3302;60 anos ou mais
Indicador  5.4.1;2;10.8;11;Rondônia;9471;2017;5;Mulheres;95253;Total
Indicador  5.4.1;2;9.5;11;Rondônia;9471;2017;5;Mulheres;41114;14 a 29 anos
Indicador  5.4.1;2;11.7;11;Rondônia;9471;2017;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;12.3;11;Rondônia;9471;2017;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;10.2;11;Rondônia;9471;2017;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;8.1;11;Rondônia;9471;2018;6794;Total;95253;Total
Indicador  5.4.1;2;7.3;11;Rondônia;9471;2018;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;8.8;11;Rondônia;9471;2018;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;8.8;11;Rondônia;9471;2018;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;7.5;11;Rondônia;9471;2018;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;5.0;11;Rondônia;9471;2018;4;Homens;95253;Total
Indicador  5.4.1;2;4.3;11;Rondônia;9471;2018;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;5.3;11;Rondônia;9471;2018;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;5.7;11;Rondônia;9471;2018;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;5.3;11;Rondônia;9471;2018;4;Homens;3302;60 anos ou mais
Indicador  5.4.1;2;11.0;11;Rondônia;9471;2018;5;Mulheres;95253;Total
Indicador  5.4.1;2;10.1;11;Rondônia;9471;2018;5;Mulheres;41114;14 a 29 anos
Indicador  5.4.1;2;12.1;11;Rondônia;9471;2018;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;11.9;11;Rondônia;9471;2018;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;9.6;11;Rondônia;9471;2018;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;8.6;11;Rondônia;9471;2019;6794;Total;95253;Total
Indicador  5.4.1;2;7.9;11;Rondônia;9471;2019;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;9.1;11;Rondônia;9471;2019;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;9.9;11;Rondônia;9471;2019;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;7.9;11;Rondônia;9471;2019;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;5.5;11;Rondônia;9471;2019;4;Homens;95253;Total
Indicador  5.4.1;2;4.9;11;Rondônia;9471;2019;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;5.8;11;Rondônia;9471;2019;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;6.5;11;Rondônia;9471;2019;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;5.5;11;Rondônia;9471;2019;4;Homens;3302;60 anos ou mais
Indicador  5.4.1;2;11.7;11;Rondônia;9471;2019;5;Mulheres;95253;Total
Indicador  5.4.1;2;10.9;11;Rondônia;9471;2019;5;Mulheres;41114;14 a 29 anos
Indicador  5.4.1;2;12.6;11;Rondônia;9471;2019;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;13.2;11;Rondônia;9471;2019;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;10.3;11;Rondônia;9471;2019;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;8.4;11;Rondônia;9471;2022;6794;Total;95253;Total
Indicador  5.4.1;2;7.6;11;Rondônia;9471;2022;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;9.1;11;Rondônia;9471;2022;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;8.7;11;Rondônia;9471;2022;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;8.1;11;Rondônia;9471;2022;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;5.6;11;Rondônia;9471;2022;4;Homens;95253;Total
Indicador  5.4.1;2;5.2;11;Rondônia;9471;2022;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;5.9;11;Rondônia;9471;2022;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;5.3;11;Rondônia;9471;2022;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;6.2;11;Rondônia;9471;2022;4;Homens;3302;60 anos ou mais
Indicador  5.4.1;2;11.1;11;Rondônia;9471;2022;5;Mulheres;95253;Total
Indicador  5.4.1;2;10.0;11;Rondônia;9471;2022;5;Mulheres;41114;14 a 29 anos
Indicador  5.4.1;2;12.2;11;Rondônia;9471;2022;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;11.9;11;Rondônia;9471;2022;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;10.0;11;Rondônia;9471;2022;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;6.5;12;Acre;9471;2016;6794;Total;95253;Total
Indicador  5.4.1;2;5.7;12;Acre;9471;2016;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;7.2;12;Acre;9471;2016;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;7.5;12;Acre;9471;2016;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;6.6;12;Acre;9471;2016;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;4.1;12;Acre;9471;2016;4;Homens;95253;Total
Indicador  5.4.1;2;3.6;12;Acre;9471;2016;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;4.5;12;Acre;9471;2016;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;5.0;12;Acre;9471;2016;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;4.2;12;Acre;9471;2016;4;Homens;3302;60 anos ou mais
Indicador  5.4.1;2;8.9;12;Acre;9471;2016;5;Mulheres;95253;Total
Indicador  5.4.1;2;7.9;12;Acre;9471;2016;5;Mulheres;41114;14 a 29 anos
Indicador  5.4.1;2;9.7;12;Acre;9471;2016;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;9.8;12;Acre;9471;2016;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;8.6;12;Acre;9471;2016;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;6.8;12;Acre;9471;2017;6794;Total;95253;Total
Indicador  5.4.1;2;6.0;12;Acre;9471;2017;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;7.6;12;Acre;9471;2017;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;7.3;12;Acre;9471;2017;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;6.6;12;Acre;9471;2017;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;4.4;12;Acre;9471;2017;4;Homens;95253;Total
Indicador  5.4.1;2;3.9;12;Acre;9471;2017;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;5.1;12;Acre;9471;2017;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;4.6;12;Acre;9471;2017;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;4.3;12;Acre;9471;2017;4;Homens;3302;60 anos ou mais
Indicador  5.4.1;2;9.1;12;Acre;9471;2017;5;Mulheres;95253;Total
