ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;93.5;13;Amazonas;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;94.7;13;Amazonas;9310;2019;49243;Total
Indicador  4.2.1.4;2;90.1;14;Roraima;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;14;Roraima;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;94.2;14;Roraima;9310;2016;49243;Total
Indicador  4.2.1.4;2;86.0;14;Roraima;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;14;Roraima;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;91.7;14;Roraima;9310;2017;49243;Total
Indicador  4.2.1.4;2;93.2;14;Roraima;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;14;Roraima;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;97.0;14;Roraima;9310;2018;49243;Total
Indicador  4.2.1.4;2;79.8;14;Roraima;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;14;Roraima;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;90.7;14;Roraima;9310;2019;49243;Total
Indicador  4.2.1.4;2;90.5;15;Pará;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;92.5;15;Pará;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;93.5;15;Pará;9310;2016;49243;Total
Indicador  4.2.1.4;2;89.1;15;Pará;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;98.4;15;Pará;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;95.3;15;Pará;9310;2017;49243;Total
Indicador  4.2.1.4;2;87.5;15;Pará;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;95.5;15;Pará;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;92.0;15;Pará;9310;2018;49243;Total
Indicador  4.2.1.4;2;89.4;15;Pará;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;15;Pará;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;94.6;15;Pará;9310;2019;49243;Total
