ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_GRUP_OCUP_TRAB_PNAD;DESC_GRUP_OCUP_TRAB_PNAD
Indicador  8.5.1.3;1769;13.0;1;Brasil;8828;2018;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.5;1;Brasil;8828;2018;33378;Ocupações elementares
Indicador  8.5.1.3;1769;35.8;1;Brasil;8828;2018;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;17.6;1;Brasil;8828;2019;33356;Total
Indicador  8.5.1.3;1769;43.8;1;Brasil;8828;2019;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;41.2;1;Brasil;8828;2019;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;22.5;1;Brasil;8828;2019;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;14.0;1;Brasil;8828;2019;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.2;1;Brasil;8828;2019;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.0;1;Brasil;8828;2019;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.6;1;Brasil;8828;2019;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;12.8;1;Brasil;8828;2019;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.6;1;Brasil;8828;2019;33378;Ocupações elementares
Indicador  8.5.1.3;1769;34.0;1;Brasil;8828;2019;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;18.2;1;Brasil;8828;2020;33356;Total
Indicador  8.5.1.3;1769;47.4;1;Brasil;8828;2020;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;41.4;1;Brasil;8828;2020;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;22.2;1;Brasil;8828;2020;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;14.3;1;Brasil;8828;2020;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.6;1;Brasil;8828;2020;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.3;1;Brasil;8828;2020;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.6;1;Brasil;8828;2020;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;13.0;1;Brasil;8828;2020;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.7;1;Brasil;8828;2020;33378;Ocupações elementares
Indicador  8.5.1.3;1769;34.8;1;Brasil;8828;2020;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;17.1;1;Brasil;8828;2021;33356;Total
Indicador  8.5.1.3;1769;41.9;1;Brasil;8828;2021;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;39.8;1;Brasil;8828;2021;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;21.9;1;Brasil;8828;2021;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;13.8;1;Brasil;8828;2021;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;11.8;1;Brasil;8828;2021;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;10.7;1;Brasil;8828;2021;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;11.9;1;Brasil;8828;2021;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;11.8;1;Brasil;8828;2021;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.1;1;Brasil;8828;2021;33378;Ocupações elementares
Indicador  8.5.1.3;1769;33.2;1;Brasil;8828;2021;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;16.7;1;Brasil;8828;2022;33356;Total
Indicador  8.5.1.3;1769;40.4;1;Brasil;8828;2022;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;37.2;1;Brasil;8828;2022;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;21.5;1;Brasil;8828;2022;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;13.4;1;Brasil;8828;2022;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;11.9;1;Brasil;8828;2022;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.9;1;Brasil;8828;2022;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.4;1;Brasil;8828;2022;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;12.4;1;Brasil;8828;2022;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.5;1;Brasil;8828;2022;33378;Ocupações elementares
Indicador  8.5.1.3;1769;34.7;1;Brasil;8828;2022;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;17.9;1;Brasil;8828;2023;33356;Total
Indicador  8.5.1.3;1769;44.4;1;Brasil;8828;2023;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;38.6;1;Brasil;8828;2023;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;23.0;1;Brasil;8828;2023;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;13.7;1;Brasil;8828;2023;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;13.1;1;Brasil;8828;2023;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.8;1;Brasil;8828;2023;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;13.2;1;Brasil;8828;2023;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;12.8;1;Brasil;8828;2023;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.8;1;Brasil;8828;2023;33378;Ocupações elementares
Indicador  8.5.1.3;1769;36.0;1;Brasil;8828;2023;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;18.5;1;Brasil;8828;2024;33356;Total
Indicador  8.5.1.3;1769;45.9;1;Brasil;8828;2024;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;38.8;1;Brasil;8828;2024;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;23.8;1;Brasil;8828;2024;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;14.3;1;Brasil;8828;2024;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;13.6;1;Brasil;8828;2024;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;12.8;1;Brasil;8828;2024;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;13.5;1;Brasil;8828;2024;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;13.9;1;Brasil;8828;2024;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;9.1;1;Brasil;8828;2024;33378;Ocupações elementares
Indicador  8.5.1.3;1769;36.2;1;Brasil;8828;2024;33379;Membros das forças armadas, policiais e bombeiros militares
