ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE
Indicador  16.1.1.3;45;0.36;1;Brasil;9502;2021;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;3.05;1;Brasil;9502;2021;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;64.49;1;Brasil;9502;2021;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;100.95;1;Brasil;9502;2021;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;85.36;1;Brasil;9502;2021;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;64.91;1;Brasil;9502;2021;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;53.47;1;Brasil;9502;2021;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;41.68;1;Brasil;9502;2021;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;32.04;1;Brasil;9502;2021;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;25.62;1;Brasil;9502;2021;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;20.10;1;Brasil;9502;2021;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;12.79;1;Brasil;9502;2021;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;0.99;1;Brasil;9502;2021;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.43;1;Brasil;9502;2021;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.10;1;Brasil;9502;2021;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;5.37;1;Brasil;9502;2021;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;6.38;1;Brasil;9502;2021;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;5.40;1;Brasil;9502;2021;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;5.77;1;Brasil;9502;2021;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;5.52;1;Brasil;9502;2021;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;4.34;1;Brasil;9502;2021;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;3.66;1;Brasil;9502;2021;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;2.51;1;Brasil;9502;2021;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;2.14;1;Brasil;9502;2021;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;1.94;1;Brasil;9502;2021;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.00;1;Brasil;9502;2022;4;Homens;1140;0 a 4 anos
