ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_NIV_INSTR;DESC_NIV_INSTR;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;91.315;21;Maranhão;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;438.814;22;Piauí;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;155.767;22;Piauí;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;77.456;22;Piauí;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;144.795;22;Piauí;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;60.796;22;Piauí;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;22;Piauí;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;1243.673;23;Ceará;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;453.423;23;Ceará;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;187.837;23;Ceará;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;482.633;23;Ceará;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;119.781;23;Ceará;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;23;Ceará;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;478.193;24;Rio Grande do Norte;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;178.937;24;Rio Grande do Norte;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;68.412;24;Rio Grande do Norte;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
