ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE;CODG_TIPO_DOENCA;DESC_TIPO_DOENCA
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;28142;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58715;Esquistossomose
Indicador  3.3.5;45;759;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58721;Oncocercose
Indicador  3.3.5;45;147;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58716;Filariose linfática
Indicador  3.3.5;45;53360;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;120931;Total
Indicador  3.3.5;45;19271;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;120937;Dengue
Indicador  3.3.5;45;162;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1264;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;31;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;4004;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58719;Raiva
Indicador  3.3.5;45;3288;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;24542;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58715;Esquistossomose
Indicador  3.3.5;45;577;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58721;Oncocercose
Indicador  3.3.5;45;221;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1148;40 a 44 anos;58716;Filariose linfática
Indicador  3.3.5;45;47274;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;120931;Total
Indicador  3.3.5;45;16600;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;120937;Dengue
Indicador  3.3.5;45;178;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1094;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;21;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;3686;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58719;Raiva
Indicador  3.3.5;45;3321;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;21559;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58715;Esquistossomose
Indicador  3.3.5;45;516;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58721;Oncocercose
Indicador  3.3.5;45;299;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1149;45 a 49 anos;58716;Filariose linfática
Indicador  3.3.5;45;42763;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;120931;Total
Indicador  3.3.5;45;14877;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;120937;Dengue
Indicador  3.3.5;45;154;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;949;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;13;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;3436;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58719;Raiva
Indicador  3.3.5;45;3338;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;19194;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58715;Esquistossomose
Indicador  3.3.5;45;421;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58721;Oncocercose
Indicador  3.3.5;45;381;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1150;50 a 54 anos;58716;Filariose linfática
Indicador  3.3.5;45;35313;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;120931;Total
Indicador  3.3.5;45;11807;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;120937;Dengue
Indicador  3.3.5;45;114;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;804;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;19;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;2884;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58719;Raiva
Indicador  3.3.5;45;3218;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;15808;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58715;Esquistossomose
Indicador  3.3.5;45;307;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58721;Oncocercose
Indicador  3.3.5;45;352;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1151;55 a 59 anos;58716;Filariose linfática
Indicador  3.3.5;45;83968;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;120931;Total
Indicador  3.3.5;45;23983;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;120937;Dengue
Indicador  3.3.5;45;306;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1793;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;50;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58713;Doença de chagas aguda
Indicador  3.3.5;45;6883;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58719;Raiva
Indicador  3.3.5;45;8066;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58714;Geo-helmintíases
Indicador  3.3.5;45;40929;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58715;Esquistossomose
Indicador  3.3.5;45;732;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58721;Oncocercose
Indicador  3.3.5;45;1226;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;3302;60 anos ou mais;58716;Filariose linfática
Indicador  3.3.5;45;640468;1;Brasil;12772;2018;4;Homens;95253;Total;120931;Total
Indicador  3.3.5;45;117477;1;Brasil;12772;2018;4;Homens;95253;Total;120937;Dengue
Indicador  3.3.5;45;2330;1;Brasil;12772;2018;4;Homens;95253;Total;58717;Leishmaniose Visceral
Indicador  3.3.5;45;12188;1;Brasil;12772;2018;4;Homens;95253;Total;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;196;1;Brasil;12772;2018;4;Homens;95253;Total;58713;Doença de chagas aguda
Indicador  3.3.5;45;28875;1;Brasil;12772;2018;4;Homens;95253;Total;58719;Raiva
Indicador  3.3.5;45;18704;1;Brasil;12772;2018;4;Homens;95253;Total;58720;Hanseníase
Indicador  3.3.5;45;271589;1;Brasil;12772;2018;4;Homens;95253;Total;58714;Geo-helmintíases
Indicador  3.3.5;45;180761;1;Brasil;12772;2018;4;Homens;95253;Total;58715;Esquistossomose
Indicador  3.3.5;45;6984;1;Brasil;12772;2018;4;Homens;95253;Total;58721;Oncocercose
Indicador  3.3.5;45;1364;1;Brasil;12772;2018;4;Homens;95253;Total;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;95253;Total;58716;Filariose linfática
Indicador  3.3.5;45;25012;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;120931;Total
Indicador  3.3.5;45;6770;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;120937;Dengue
Indicador  3.3.5;45;596;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;309;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;2252;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58719;Raiva
Indicador  3.3.5;45;23;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;15046;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58715;Esquistossomose
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58721;Oncocercose
Indicador  3.3.5;45;2;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1140;0 a 4 anos;58716;Filariose linfática
Indicador  3.3.5;45;160280;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;120931;Total
Indicador  3.3.5;45;7573;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;120937;Dengue
Indicador  3.3.5;45;165;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;317;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;2398;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58719;Raiva
Indicador  3.3.5;45;288;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58720;Hanseníase
Indicador  3.3.5;45;132956;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;15081;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58715;Esquistossomose
Indicador  3.3.5;45;1477;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58721;Oncocercose
Indicador  3.3.5;45;9;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1141;5 a 9 anos;58716;Filariose linfática
Indicador  3.3.5;45;169130;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;120931;Total
Indicador  3.3.5;45;10083;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;120937;Dengue
Indicador  3.3.5;45;88;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;649;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;17;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;2095;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58719;Raiva
Indicador  3.3.5;45;593;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58720;Hanseníase
Indicador  3.3.5;45;138633;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;15712;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58715;Esquistossomose
Indicador  3.3.5;45;1255;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58721;Oncocercose
Indicador  3.3.5;45;5;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1142;10 a 14 anos;58716;Filariose linfática
Indicador  3.3.5;45;33954;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;120931;Total
Indicador  3.3.5;45;11968;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;120937;Dengue
Indicador  3.3.5;45;150;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1353;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;22;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;2094;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58719;Raiva
Indicador  3.3.5;45;713;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;16670;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58715;Esquistossomose
Indicador  3.3.5;45;966;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58721;Oncocercose
Indicador  3.3.5;45;18;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1143;15 a 19 anos;58716;Filariose linfática
Indicador  3.3.5;45;35695;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;120931;Total
Indicador  3.3.5;45;13166;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;120937;Dengue
Indicador  3.3.5;45;167;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1369;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;18;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;2726;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;58719;Raiva
Indicador  3.3.5;45;893;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;16701;1;Brasil;12772;2018;4;Homens;1144;20 a 24 anos;58715;Esquistossomose
