ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_SIT_DOM;DESC_SIT_DOM
Indicador  5.4.1.3;2;9.5;12;Acre;9471;2016;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.8;12;Acre;9471;2017;6794;Total;6795;Total
Indicador  5.4.1.3;2;7.0;12;Acre;9471;2017;6794;Total;1;Urbana
Indicador  5.4.1.3;2;5.9;12;Acre;9471;2017;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.4;12;Acre;9471;2017;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.7;12;Acre;9471;2017;4;Homens;1;Urbana
Indicador  5.4.1.3;2;3.5;12;Acre;9471;2017;4;Homens;2;Rural
Indicador  5.4.1.3;2;9.1;12;Acre;9471;2017;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;9.1;12;Acre;9471;2017;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;8.8;12;Acre;9471;2017;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.1;12;Acre;9471;2018;6794;Total;6795;Total
Indicador  5.4.1.3;2;7.9;12;Acre;9471;2018;6794;Total;1;Urbana
Indicador  5.4.1.3;2;8.8;12;Acre;9471;2018;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.3;12;Acre;9471;2018;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.2;12;Acre;9471;2018;4;Homens;1;Urbana
Indicador  5.4.1.3;2;5.7;12;Acre;9471;2018;4;Homens;2;Rural
Indicador  5.4.1.3;2;10.7;12;Acre;9471;2018;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;10.3;12;Acre;9471;2018;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;12.4;12;Acre;9471;2018;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.7;12;Acre;9471;2019;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.5;12;Acre;9471;2019;6794;Total;1;Urbana
Indicador  5.4.1.3;2;9.2;12;Acre;9471;2019;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.7;12;Acre;9471;2019;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.6;12;Acre;9471;2019;4;Homens;1;Urbana
Indicador  5.4.1.3;2;5.8;12;Acre;9471;2019;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.7;12;Acre;9471;2019;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;11.2;12;Acre;9471;2019;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;13.3;12;Acre;9471;2019;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.8;12;Acre;9471;2022;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.5;12;Acre;9471;2022;6794;Total;1;Urbana
Indicador  5.4.1.3;2;7.7;12;Acre;9471;2022;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.5;12;Acre;9471;2022;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.5;12;Acre;9471;2022;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.6;12;Acre;9471;2022;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.9;12;Acre;9471;2022;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;8.3;12;Acre;9471;2022;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;11.4;12;Acre;9471;2022;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.6;13;Amazonas;9471;2016;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.4;13;Amazonas;9471;2016;6794;Total;1;Urbana
Indicador  5.4.1.3;2;7.5;13;Amazonas;9471;2016;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.3;13;Amazonas;9471;2016;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.2;13;Amazonas;9471;2016;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.8;13;Amazonas;9471;2016;4;Homens;2;Rural
Indicador  5.4.1.3;2;9.0;13;Amazonas;9471;2016;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;8.6;13;Amazonas;9471;2016;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;11.2;13;Amazonas;9471;2016;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.1;13;Amazonas;9471;2017;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.1;13;Amazonas;9471;2017;6794;Total;1;Urbana
Indicador  5.4.1.3;2;5.9;13;Amazonas;9471;2017;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.1;13;Amazonas;9471;2017;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.1;13;Amazonas;9471;2017;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.1;13;Amazonas;9471;2017;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.0;13;Amazonas;9471;2017;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;8.0;13;Amazonas;9471;2017;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;8.3;13;Amazonas;9471;2017;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.3;13;Amazonas;9471;2018;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.3;13;Amazonas;9471;2018;6794;Total;1;Urbana
Indicador  5.4.1.3;2;6.5;13;Amazonas;9471;2018;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.6;13;Amazonas;9471;2018;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.5;13;Amazonas;9471;2018;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.6;13;Amazonas;9471;2018;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.1;13;Amazonas;9471;2018;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;7.9;13;Amazonas;9471;2018;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;9.1;13;Amazonas;9471;2018;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;7.2;13;Amazonas;9471;2019;6794;Total;6795;Total
Indicador  5.4.1.3;2;7.2;13;Amazonas;9471;2019;6794;Total;1;Urbana
Indicador  5.4.1.3;2;6.9;13;Amazonas;9471;2019;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.9;13;Amazonas;9471;2019;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.9;13;Amazonas;9471;2019;4;Homens;1;Urbana
Indicador  5.4.1.3;2;5.0;13;Amazonas;9471;2019;4;Homens;2;Rural
Indicador  5.4.1.3;2;9.5;13;Amazonas;9471;2019;5;Mulheres;6795;Total
