ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SET_ATIV;DESC_SET_ATIV;SUB_INDICADOR
Indicador  6.4.1;1767;38.91;15;Pará;12771;2012;13;Serviços;12771
Indicador  6.4.1;1767;0.49;15;Pará;12771;2012;45985;Agropecuária;12771
Indicador  6.4.1;1767;18.27;15;Pará;12771;2013;100374;Total;12771
Indicador  6.4.1;1767;15.57;15;Pará;12771;2013;46522;Indústria;12771
Indicador  6.4.1;1767;39.14;15;Pará;12771;2013;13;Serviços;12771
Indicador  6.4.1;1767;0.90;15;Pará;12771;2013;45985;Agropecuária;12771
Indicador  6.4.1;1767;18.37;15;Pará;12771;2014;100374;Total;12771
Indicador  6.4.1;1767;16.75;15;Pará;12771;2014;46522;Indústria;12771
Indicador  6.4.1;1767;39.54;15;Pará;12771;2014;13;Serviços;12771
Indicador  6.4.1;1767;1.21;15;Pará;12771;2014;45985;Agropecuária;12771
Indicador  6.4.1;1767;17.14;15;Pará;12771;2015;100374;Total;12771
Indicador  6.4.1;1767;16.98;15;Pará;12771;2015;46522;Indústria;12771
Indicador  6.4.1;1767;37.85;15;Pará;12771;2015;13;Serviços;12771
Indicador  6.4.1;1767;1.13;15;Pará;12771;2015;45985;Agropecuária;12771
Indicador  6.4.1;1767;16.62;15;Pará;12771;2016;100374;Total;12771
Indicador  6.4.1;1767;15.65;15;Pará;12771;2016;46522;Indústria;12771
Indicador  6.4.1;1767;36.11;15;Pará;12771;2016;13;Serviços;12771
Indicador  6.4.1;1767;1.27;15;Pará;12771;2016;45985;Agropecuária;12771
Indicador  6.4.1;1767;16.30;15;Pará;12771;2017;100374;Total;12771
Indicador  6.4.1;1767;15.49;15;Pará;12771;2017;46522;Indústria;12771
Indicador  6.4.1;1767;36.50;15;Pará;12771;2017;13;Serviços;12771
Indicador  6.4.1;1767;1.17;15;Pará;12771;2017;45985;Agropecuária;12771
Indicador  6.4.1;1767;16.90;15;Pará;12771;2018;100374;Total;12771
Indicador  6.4.1;1767;15.46;15;Pará;12771;2018;46522;Indústria;12771
Indicador  6.4.1;1767;37.08;15;Pará;12771;2018;13;Serviços;12771
Indicador  6.4.1;1767;1.35;15;Pará;12771;2018;45985;Agropecuária;12771
Indicador  6.4.1;1767;24.32;16;Amapá;12771;2010;100374;Total;12771
Indicador  6.4.1;1767;44.84;16;Amapá;12771;2010;46522;Indústria;12771
Indicador  6.4.1;1767;26.82;16;Amapá;12771;2010;13;Serviços;12771
Indicador  6.4.1;1767;0.55;16;Amapá;12771;2010;45985;Agropecuária;12771
Indicador  6.4.1;1767;23.20;16;Amapá;12771;2011;100374;Total;12771
Indicador  6.4.1;1767;42.52;16;Amapá;12771;2011;46522;Indústria;12771
Indicador  6.4.1;1767;26.49;16;Amapá;12771;2011;13;Serviços;12771
Indicador  6.4.1;1767;0.25;16;Amapá;12771;2011;45985;Agropecuária;12771
Indicador  6.4.1;1767;24.64;16;Amapá;12771;2012;100374;Total;12771
Indicador  6.4.1;1767;58.92;16;Amapá;12771;2012;46522;Indústria;12771
Indicador  6.4.1;1767;27.78;16;Amapá;12771;2012;13;Serviços;12771
Indicador  6.4.1;1767;0.41;16;Amapá;12771;2012;45985;Agropecuária;12771
Indicador  6.4.1;1767;25.51;16;Amapá;12771;2013;100374;Total;12771
Indicador  6.4.1;1767;107.04;16;Amapá;12771;2013;46522;Indústria;12771
Indicador  6.4.1;1767;27.43;16;Amapá;12771;2013;13;Serviços;12771
Indicador  6.4.1;1767;0.79;16;Amapá;12771;2013;45985;Agropecuária;12771
Indicador  6.4.1;1767;23.98;16;Amapá;12771;2014;100374;Total;12771
Indicador  6.4.1;1767;64.84;16;Amapá;12771;2014;46522;Indústria;12771
Indicador  6.4.1;1767;27.40;16;Amapá;12771;2014;13;Serviços;12771
Indicador  6.4.1;1767;0.71;16;Amapá;12771;2014;45985;Agropecuária;12771
Indicador  6.4.1;1767;22.06;16;Amapá;12771;2015;100374;Total;12771
Indicador  6.4.1;1767;75.52;16;Amapá;12771;2015;46522;Indústria;12771
Indicador  6.4.1;1767;25.58;16;Amapá;12771;2015;13;Serviços;12771
Indicador  6.4.1;1767;0.52;16;Amapá;12771;2015;45985;Agropecuária;12771
Indicador  6.4.1;1767;21.23;16;Amapá;12771;2016;100374;Total;12771
Indicador  6.4.1;1767;69.34;16;Amapá;12771;2016;46522;Indústria;12771
Indicador  6.4.1;1767;24.02;16;Amapá;12771;2016;13;Serviços;12771
Indicador  6.4.1;1767;0.44;16;Amapá;12771;2016;45985;Agropecuária;12771
Indicador  6.4.1;1767;20.92;16;Amapá;12771;2017;100374;Total;12771
Indicador  6.4.1;1767;67.15;16;Amapá;12771;2017;46522;Indústria;12771
Indicador  6.4.1;1767;23.83;16;Amapá;12771;2017;13;Serviços;12771
Indicador  6.4.1;1767;0.45;16;Amapá;12771;2017;45985;Agropecuária;12771
Indicador  6.4.1;1767;20.97;16;Amapá;12771;2018;100374;Total;12771
Indicador  6.4.1;1767;67.54;16;Amapá;12771;2018;46522;Indústria;12771
Indicador  6.4.1;1767;23.46;16;Amapá;12771;2018;13;Serviços;12771
Indicador  6.4.1;1767;0.46;16;Amapá;12771;2018;45985;Agropecuária;12771
Indicador  6.4.1;1767;7.46;17;Tocantins;12771;2010;100374;Total;12771
Indicador  6.4.1;1767;65.26;17;Tocantins;12771;2010;46522;Indústria;12771
Indicador  6.4.1;1767;57.79;17;Tocantins;12771;2010;13;Serviços;12771
Indicador  6.4.1;1767;0.54;17;Tocantins;12771;2010;45985;Agropecuária;12771
Indicador  6.4.1;1767;9.34;17;Tocantins;12771;2011;100374;Total;12771
Indicador  6.4.1;1767;58.18;17;Tocantins;12771;2011;46522;Indústria;12771
Indicador  6.4.1;1767;62.10;17;Tocantins;12771;2011;13;Serviços;12771
Indicador  6.4.1;1767;0.62;17;Tocantins;12771;2011;45985;Agropecuária;12771
Indicador  6.4.1;1767;8.13;17;Tocantins;12771;2012;100374;Total;12771
Indicador  6.4.1;1767;60.04;17;Tocantins;12771;2012;46522;Indústria;12771
Indicador  6.4.1;1767;64.39;17;Tocantins;12771;2012;13;Serviços;12771
Indicador  6.4.1;1767;0.51;17;Tocantins;12771;2012;45985;Agropecuária;12771
Indicador  6.4.1;1767;9.57;17;Tocantins;12771;2013;100374;Total;12771
Indicador  6.4.1;1767;58.04;17;Tocantins;12771;2013;46522;Indústria;12771
Indicador  6.4.1;1767;62.46;17;Tocantins;12771;2013;13;Serviços;12771
Indicador  6.4.1;1767;0.63;17;Tocantins;12771;2013;45985;Agropecuária;12771
Indicador  6.4.1;1767;8.51;17;Tocantins;12771;2014;100374;Total;12771
Indicador  6.4.1;1767;61.16;17;Tocantins;12771;2014;46522;Indústria;12771
Indicador  6.4.1;1767;64.26;17;Tocantins;12771;2014;13;Serviços;12771
Indicador  6.4.1;1767;0.56;17;Tocantins;12771;2014;45985;Agropecuária;12771
Indicador  6.4.1;1767;6.81;17;Tocantins;12771;2015;100374;Total;12771
Indicador  6.4.1;1767;56.13;17;Tocantins;12771;2015;46522;Indústria;12771
Indicador  6.4.1;1767;61.98;17;Tocantins;12771;2015;13;Serviços;12771
Indicador  6.4.1;1767;0.42;17;Tocantins;12771;2015;45985;Agropecuária;12771
Indicador  6.4.1;1767;6.42;17;Tocantins;12771;2016;100374;Total;12771
Indicador  6.4.1;1767;58.74;17;Tocantins;12771;2016;46522;Indústria;12771
Indicador  6.4.1;1767;59.35;17;Tocantins;12771;2016;13;Serviços;12771
Indicador  6.4.1;1767;0.47;17;Tocantins;12771;2016;45985;Agropecuária;12771
Indicador  6.4.1;1767;6.87;17;Tocantins;12771;2017;100374;Total;12771
Indicador  6.4.1;1767;60.25;17;Tocantins;12771;2017;46522;Indústria;12771
Indicador  6.4.1;1767;58.98;17;Tocantins;12771;2017;13;Serviços;12771
Indicador  6.4.1;1767;0.49;17;Tocantins;12771;2017;45985;Agropecuária;12771
Indicador  6.4.1;1767;6.48;17;Tocantins;12771;2018;100374;Total;12771
Indicador  6.4.1;1767;60.69;17;Tocantins;12771;2018;46522;Indústria;12771
Indicador  6.4.1;1767;67.71;17;Tocantins;12771;2018;13;Serviços;12771
Indicador  6.4.1;1767;0.43;17;Tocantins;12771;2018;45985;Agropecuária;12771
Indicador  6.4.1;1767;14.13;21;Maranhão;12771;2010;100374;Total;12771
Indicador  6.4.1;1767;100.78;21;Maranhão;12771;2010;46522;Indústria;12771
Indicador  6.4.1;1767;23.65;21;Maranhão;12771;2010;13;Serviços;12771
Indicador  6.4.1;1767;0.73;21;Maranhão;12771;2010;45985;Agropecuária;12771
Indicador  6.4.1;1767;15.02;21;Maranhão;12771;2011;100374;Total;12771
Indicador  6.4.1;1767;80.02;21;Maranhão;12771;2011;46522;Indústria;12771
