ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ETAPA_ENS;DESC_ETAPA_ENS
Indicador  4.c.1;1726;47.3;12;Acre;9610;2015;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;77.1;12;Acre;9610;2015;41125;Ensino médio
Indicador  4.c.1;1726;55.7;12;Acre;9610;2016;41122;Educação infantil
Indicador  4.c.1;1726;85.3;12;Acre;9610;2016;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;48.3;12;Acre;9610;2016;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;78.0;12;Acre;9610;2016;41125;Ensino médio
Indicador  4.c.1;1726;57.6;12;Acre;9610;2017;41122;Educação infantil
Indicador  4.c.1;1726;85.2;12;Acre;9610;2017;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;48.0;12;Acre;9610;2017;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;77.2;12;Acre;9610;2017;41125;Ensino médio
Indicador  4.c.1;1726;57.4;12;Acre;9610;2018;41122;Educação infantil
Indicador  4.c.1;1726;85.0;12;Acre;9610;2018;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;49.9;12;Acre;9610;2018;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;74.8;12;Acre;9610;2018;41125;Ensino médio
Indicador  4.c.1;1726;64.6;12;Acre;9610;2019;41122;Educação infantil
Indicador  4.c.1;1726;90.4;12;Acre;9610;2019;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;53.2;12;Acre;9610;2019;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;78.5;12;Acre;9610;2019;41125;Ensino médio
Indicador  4.c.1;1726;68.2;12;Acre;9610;2020;41122;Educação infantil
Indicador  4.c.1;1726;91.5;12;Acre;9610;2020;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;54.9;12;Acre;9610;2020;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;80.4;12;Acre;9610;2020;41125;Ensino médio
Indicador  4.c.1;1726;64.9;12;Acre;9610;2021;41122;Educação infantil
Indicador  4.c.1;1726;90.4;12;Acre;9610;2021;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;56.9;12;Acre;9610;2021;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;78.5;12;Acre;9610;2021;41125;Ensino médio
Indicador  4.c.1;1726;63.6;12;Acre;9610;2022;41122;Educação infantil
Indicador  4.c.1;1726;90.0;12;Acre;9610;2022;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;54.7;12;Acre;9610;2022;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;77.7;12;Acre;9610;2022;41125;Ensino médio
Indicador  4.c.1;1726;65.5;13;Amazonas;9610;2007;41122;Educação infantil
Indicador  4.c.1;1726;77.8;13;Amazonas;9610;2007;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;52.8;13;Amazonas;9610;2007;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;79.1;13;Amazonas;9610;2007;41125;Ensino médio
Indicador  4.c.1;1726;83.6;13;Amazonas;9610;2008;41122;Educação infantil
Indicador  4.c.1;1726;90.6;13;Amazonas;9610;2008;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;40.8;13;Amazonas;9610;2008;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;66.9;13;Amazonas;9610;2008;41125;Ensino médio
Indicador  4.c.1;1726;80.8;13;Amazonas;9610;2009;41122;Educação infantil
Indicador  4.c.1;1726;89.1;13;Amazonas;9610;2009;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;41.6;13;Amazonas;9610;2009;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;67.3;13;Amazonas;9610;2009;41125;Ensino médio
Indicador  4.c.1;1726;78.9;13;Amazonas;9610;2010;41122;Educação infantil
Indicador  4.c.1;1726;88.1;13;Amazonas;9610;2010;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;42.0;13;Amazonas;9610;2010;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;66.2;13;Amazonas;9610;2010;41125;Ensino médio
Indicador  4.c.1;1726;73.8;13;Amazonas;9610;2011;41122;Educação infantil
Indicador  4.c.1;1726;84.2;13;Amazonas;9610;2011;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;43.9;13;Amazonas;9610;2011;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;68.1;13;Amazonas;9610;2011;41125;Ensino médio
Indicador  4.c.1;1726;70.2;13;Amazonas;9610;2012;41122;Educação infantil
Indicador  4.c.1;1726;83.2;13;Amazonas;9610;2012;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;46.9;13;Amazonas;9610;2012;41124;Ensino fundamental - anos finais
