ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;65.346;17;Tocantins;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;46.636;17;Tocantins;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;52.973;17;Tocantins;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;21.074;17;Tocantins;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;897.076;21;Maranhão;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;335.440;21;Maranhão;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;218.615;21;Maranhão;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;264.195;21;Maranhão;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;78.826;21;Maranhão;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;21;Maranhão;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;438.814;22;Piauí;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;158.940;22;Piauí;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;103.146;22;Piauí;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;3299;30 a 39 anos;2;Rural;11392
