ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ECO_REL_AGUA;DESC_ECO_REL_AGUA;CODG_TIP_DIN_ECO_REL_AGUA;DESC_TIP_DIN_ECO_REL_AGUA;SUB_INDICADOR
Indicador  6.6.1;2;-15.4;22;Piauí;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;2.8;22;Piauí;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-54.0;23;Ceará;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-40.0;23;Ceará;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;23;Ceará;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;23;Ceará;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;23;Ceará;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;23;Ceará;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-21.4;23;Ceará;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;22.8;23;Ceará;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-41.0;24;Rio Grande do Norte;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-38.5;24;Rio Grande do Norte;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;24;Rio Grande do Norte;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;24;Rio Grande do Norte;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;24;Rio Grande do Norte;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;24;Rio Grande do Norte;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;5.5;24;Rio Grande do Norte;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;15.9;24;Rio Grande do Norte;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-63.5;25;Paraíba;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-54.4;25;Paraíba;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;25;Paraíba;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;25;Paraíba;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;25;Paraíba;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;25;Paraíba;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-25.9;25;Paraíba;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;14.3;25;Paraíba;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-14.1;26;Pernambuco;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-16.2;26;Pernambuco;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;26;Pernambuco;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;26;Pernambuco;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;26;Pernambuco;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;26;Pernambuco;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-25.7;26;Pernambuco;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;15.0;26;Pernambuco;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-4.9;27;Alagoas;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-0.1;27;Alagoas;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
